	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	668	False	5	0.6725	355.6	1778.0	0.4
1	1	2	734	False	5	0.6175	318.0	1590.0	0.4
2	2	3	843	False	5	0.6725	290.0	1450.0	0.4
3	3	4	920	False	5	0.66	353.2	1766.0	0.4
4	4	5	745	True	3	0.7575	529.4	2647.0	1.0
5	5	6	298	True	2	0.6075	267.4	1337.0	1.0
6	6	7	1487	False	5	0.8475	524.6	2623.0	0.8
7	7	8	1125	True	3	0.975	913.8	4569.0	1.0
8	8	9	1393	False	5	0.93	537.4	2687.0	0.8
9	9	10	740	True	2	0.8625	616.8	3084.0	1.0
10	10	11	686	False	5	0.7175	312.6	1563.0	0.6
11	11	12	423	False	5	0.3825	256.2	1281.0	0.6
12	12	13	1895	False	5	0.8625	783.4	3917.0	0.8
13	13	14	220	False	5	0.3475	167.2	836.0	0.4
14	14	15	695	True	4	0.8275	384.2	1921.0	1.0
15	15	16	650	True	2	0.9325	533.6	2668.0	1.0
16	16	17	1530	False	5	0.935	722.6	3613.0	0.8
17	17	18	693	False	5	0.8875	506.8	2534.0	0.8
18	18	19	458	False	5	0.725	311.4	1557.0	0.8
19	19	20	509	False	5	0.41	177.2	886.0	0.8
20	20	21	787	False	5	0.5775	246.0	1230.0	0.4
21	21	22	372	False	5	0.4625	122.0	610.0	0.4
22	22	23	1793	False	5	0.8325	467.4	2337.0	0.6
23	23	24	2356	False	5	0.81	562.2	2811.0	0.8
24	24	25	189	False	5	0.2025	106.4	532.0	0.4
25	25	26	2187	False	5	0.9625	738.8	3694.0	0.8
26	26	27	2604	False	5	0.9075	833.2	4166.0	0.6
27	27	28	2448	False	5	0.9225	1109.6	5548.0	0.8
28	28	29	2181	False	5	0.9675	807.4	4037.0	0.8
29	29	30	779	False	5	0.505	356.8	1784.0	0.6
30	30	31	359	False	5	0.2075	80.2	401.0	0.4
31	31	32	1472	True	4	0.7875	539.0	2695.0	1.0
32	32	33	738	True	2	0.935	510.8	2554.0	1.0
33	33	34	890	False	5	0.82	339.4	1697.0	0.8
34	34	35	348	False	5	0.6225	237.2	1186.0	0.4
35	35	36	712	False	5	0.72	405.0	2025.0	0.8
36	36	37	1201	False	5	0.94	708.8	3544.0	0.8
37	37	38	3158	False	5	0.965	922.6	4613.0	0.6
38	38	39	329	False	5	0.42	171.2	856.0	0.6
39	39	40	1232	False	5	0.735	386.0	1930.0	0.8
40	40	41	1581	False	5	0.8825	428.8	2144.0	0.8
41	41	42	2347	False	5	0.8975	768.6	3843.0	0.6
42	42	43	1247	False	5	0.8825	633.2	3166.0	0.6
43	43	44	588	False	5	0.635	403.2	2016.0	0.6
44	44	45	610	False	5	0.78	325.8	1629.0	0.8
45	45	46	731	True	2	0.81	521.4	2607.0	1.0
46	46	47	1790	True	3	0.995	1044.4	5222.0	1.0
47	47	48	688	False	5	0.6525	348.6	1743.0	0.6
48	48	49	977	True	3	0.9725	628.0	3140.0	1.0
49	49	50	2974	False	5	0.8875	828.2	4141.0	0.4
50	50	51	751	False	5	0.605	239.6	1198.0	0.6
51	51	52	699	False	5	0.73	325.2	1626.0	0.2
52	52	53	564	False	5	0.395	184.4	922.0	0.6
53	53	54	325	False	5	0.68	187.4	937.0	0.8
54	54	55	672	False	5	0.8575	349.6	1748.0	0.8
55	55	56	594	False	5	0.705	277.6	1388.0	0.2
56	56	57	912	False	5	0.6775	395.8	1979.0	0.8
57	57	58	222	True	2	0.4325	146.0	730.0	1.0
58	58	59	1353	False	5	0.9125	706.0	3530.0	0.6
59	59	60	782	True	3	0.93	596.0	2980.0	1.0
60	60	61	641	True	2	0.8175	505.2	2526.0	1.0
61	61	62	560	False	5	0.72	316.2	1581.0	0.8
62	62	63	336	False	5	0.4125	214.6	1073.0	0.4
63	63	64	304	True	1	0.7475	295.2	1476.0	1.0
64	64	65	1053	False	5	0.9825	673.6	3368.0	0.8
65	65	66	814	False	5	0.85	449.6	2248.0	0.8
66	66	67	1207	False	5	0.8	516.0	2580.0	0.6
67	67	68	302	True	1	0.5925	272.0	1360.0	1.0
68	68	69	807	False	5	0.87	398.6	1993.0	0.8
69	69	70	350	True	3	0.6475	218.6	1093.0	1.0
70	70	71	839	True	3	0.9575	610.2	3051.0	1.0
71	71	72	1104	True	2	0.9325	789.8	3949.0	1.0
72	72	73	1131	False	5	0.8	570.2	2851.0	0.0
73	73	74	1091	False	5	0.745	534.4	2672.0	0.4
74	74	75	1291	False	5	0.905	600.8	3004.0	0.8
75	75	76	1065	False	5	0.885	518.6	2593.0	0.8
76	76	77	1177	False	5	0.96	738.8	3694.0	0.8
77	77	78	472	False	5	0.555	267.8	1339.0	0.4
78	78	79	891	False	5	0.67	440.6	2203.0	0.6
79	79	80	656	True	4	0.71	362.4	1812.0	1.0
80	80	81	1267	False	5	0.7825	381.0	1905.0	0.6
81	81	82	687	False	5	0.7775	317.2	1586.0	0.4
82	82	83	987	True	3	0.875	546.8	2734.0	1.0
83	83	84	1889	False	5	0.98	771.2	3856.0	0.8
84	84	85	53	False	5	0.095	34.0	170.0	0.4
85	85	86	1052	False	5	0.6875	311.8	1559.0	0.8
86	86	87	534	False	5	0.4	138.0	690.0	0.6
87	87	88	701	False	5	0.77	427.8	2139.0	0.8
88	88	89	219	False	5	0.29	137.6	688.0	0.2
89	89	90	347	False	5	0.365	178.2	891.0	0.2
90	90	91	1040	False	5	0.9575	725.4	3627.0	0.8
91	91	92	1628	False	5	0.715	734.0	3670.0	0.4
92	92	93	965	True	4	0.9125	500.0	2500.0	1.0
93	93	94	1680	False	5	0.9775	825.6	4128.0	0.8
94	94	95	448	False	5	0.45	222.6	1113.0	0.8
95	95	96	443	True	3	0.64	262.2	1311.0	1.0
96	96	97	583	False	5	0.69	267.6	1338.0	0.4
97	97	98	895	False	5	0.86	428.0	2140.0	0.8
98	98	99	1341	False	5	0.9525	933.8	4669.0	0.4
99	99	100	723	False	5	0.67	495.8	2479.0	0.4
100	100	101	1380	False	5	0.7	453.4	2267.0	0.6
101	101	102	1595	False	5	0.945	1085.0	5425.0	0.8
102	102	103	1475	False	5	0.8125	557.0	2785.0	0.8
103	103	104	376	True	3	0.6175	230.4	1152.0	1.0
104	104	105	219	False	5	0.2575	91.6	458.0	0.4
105	105	106	843	False	5	0.455	368.4	1842.0	0.6
106	106	107	2185	True	3	0.98	1327.6	6638.0	1.0
107	107	108	309	False	5	0.35	99.4	497.0	0.6
