i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	53	1	2	0.2275	26.2	131.0	1.0
2	47	1	3	0.16	26.2	131.0	1.0
3	20	1	3	0.1025	16.8	84.0	1.0
4	27	1	4	0.125	18.2	91.0	1.0
5	22	1	0	0.1625	18.8	94.0	1.0
6	40	1	3	0.2	26.4	132.0	1.0
7	17	1	0	0.085	16.4	82.0	1.0
8	27	0	5	0.1425	16.8	84.0	0.0
9	29	1	2	0.1825	20.6	103.0	1.0
10	52	1	1	0.1775	30.8	154.0	1.0
11	29	1	0	0.16	20.0	100.0	1.0
12	17	1	0	0.1	14.4	72.0	1.0
13	48	1	4	0.2425	29.0	145.0	1.0
14	33	1	0	0.2025	25.4	127.0	1.0
15	18	1	0	0.0775	16.0	80.0	1.0
16	39	1	3	0.21	23.6	118.0	1.0
17	41	1	4	0.11	18.0	90.0	1.0
18	54	1	1	0.145	24.4	122.0	1.0
19	21	1	0	0.11	17.6	88.0	1.0
20	47	1	4	0.245	32.8	164.0	1.0
21	83	0	5	0.22	33.0	165.0	0.5
22	24	1	1	0.115	17.4	87.0	1.0
23	30	0	5	0.1775	18.2	91.0	0.5
24	52	0	5	0.2	25.2	126.0	0.0
25	60	0	5	0.1925	22.2	111.0	0.5
26	53	1	2	0.2475	31.8	159.0	1.0
27	40	1	1	0.1925	25.4	127.0	1.0
28	31	1	1	0.1875	27.2	136.0	1.0
29	28	1	2	0.1725	21.2	106.0	1.0
30	28	1	2	0.1825	23.6	118.0	1.0
31	25	1	0	0.175	19.6	98.0	1.0
32	34	1	1	0.1975	27.0	135.0	1.0
33	22	1	0	0.1275	20.0	100.0	1.0
34	18	1	1	0.125	14.2	71.0	1.0
35	35	1	2	0.1975	25.8	129.0	1.0
36	37	1	1	0.15	21.6	108.0	1.0
37	56	0	5	0.19	24.2	121.0	0.5
38	18	1	1	0.1275	16.4	82.0	1.0
39	42	1	3	0.2	25.4	127.0	1.0
40	35	1	1	0.2325	27.4	137.0	1.0
41	17	1	0	0.0775	14.4	72.0	1.0
42	67	1	4	0.2325	31.4	157.0	1.0
43	20	1	0	0.15	17.8	89.0	1.0
44	36	0	5	0.1775	22.8	114.0	0.5
45	76	0	5	0.14	27.6	138.0	0.5
46	26	1	0	0.1525	19.0	95.0	1.0
47	39	1	1	0.1825	25.6	128.0	1.0
48	67	1	4	0.225	28.0	140.0	1.0
49	60	0	5	0.24	28.2	141.0	0.5
50	43	1	2	0.2175	25.6	128.0	1.0
51	31	0	5	0.135	24.2	121.0	0.0
52	53	0	5	0.265	30.6	153.0	0.5
53	22	1	0	0.1525	18.4	92.0	1.0
54	17	1	1	0.0925	15.4	77.0	1.0
55	31	1	3	0.15	21.8	109.0	1.0
56	55	0	5	0.215	24.2	121.0	0.5
57	29	1	1	0.17	18.8	94.0	1.0
58	33	1	1	0.215	25.6	128.0	1.0
59	10	1	0	0.0525	6.8	34.0	1.0
60	65	0	5	0.2425	30.6	153.0	0.5
61	20	1	0	0.105	19.2	96.0	1.0
62	38	1	1	0.175	21.0	105.0	1.0
63	26	1	0	0.1775	20.4	102.0	1.0
64	34	0	5	0.135	18.8	94.0	0.5
65	27	1	4	0.0625	7.0	35.0	1.0
66	55	0	5	0.195	25.0	125.0	0.5
67	78	0	5	0.24	28.4	142.0	0.5
68	15	1	0	0.0625	13.0	65.0	1.0
69	24	1	0	0.185	22.2	111.0	1.0
70	19	1	2	0.175	17.2	86.0	1.0
71	26	1	1	0.135	15.6	78.0	1.0
72	21	1	1	0.155	17.4	87.0	1.0
73	29	1	0	0.1475	18.0	90.0	1.0
74	39	1	1	0.205	25.2	126.0	1.0
75	67	0	5	0.2025	23.6	118.0	0.5
76	57	0	5	0.2225	29.6	148.0	0.5
77	30	1	0	0.175	20.8	104.0	1.0
78	27	0	5	0.07	12.2	61.0	0.5
79	50	0	5	0.145	19.8	99.0	0.5
80	30	1	1	0.1425	22.0	110.0	1.0
81	54	1	3	0.1825	24.8	124.0	1.0
82	27	1	1	0.15	19.2	96.0	1.0
83	15	1	0	0.0875	13.6	68.0	1.0
84	24	1	0	0.1875	22.0	110.0	1.0
85	39	1	1	0.175	21.6	108.0	1.0
86	17	1	0	0.115	15.0	75.0	1.0
87	52	1	3	0.215	29.2	146.0	1.0
88	41	1	4	0.13	24.0	120.0	1.0
89	42	1	2	0.1875	28.8	144.0	1.0
90	46	1	4	0.18	28.8	144.0	1.0
91	30	0	5	0.1275	23.8	119.0	0.0
92	28	1	0	0.1625	19.4	97.0	1.0
93	27	1	1	0.1975	21.0	105.0	1.0
94	53	1	4	0.22	32.2	161.0	1.0
95	41	1	2	0.1825	27.4	137.0	1.0
96	15	1	0	0.0825	11.0	55.0	1.0
97	23	1	1	0.145	19.2	96.0	1.0
98	20	1	1	0.115	17.6	88.0	1.0
99	23	1	0	0.135	16.6	83.0	1.0
100	50	0	5	0.255	28.6	143.0	0.0
101	45	1	3	0.2025	30.8	154.0	1.0
102	36	1	2	0.145	23.0	115.0	1.0
103	62	1	2	0.17	28.8	144.0	1.0
104	64	1	2	0.2225	29.4	147.0	1.0
105	25	1	1	0.185	22.2	111.0	1.0
106	28	1	0	0.18	21.2	106.0	1.0
107	43	0	5	0.1825	22.4	112.0	0.5
108	42	1	3	0.1925	25.2	126.0	1.0
109	44	0	5	0.21	22.8	114.0	0.0
110	31	1	0	0.13	17.0	85.0	1.0
111	20	0	5	0.075	13.6	68.0	0.0
112	31	0	5	0.1375	15.0	75.0	0.5
113	33	1	1	0.155	23.0	115.0	1.0
114	18	1	2	0.115	15.2	76.0	1.0
115	28	1	0	0.195	22.2	111.0	1.0
116	63	0	5	0.21	25.6	128.0	0.5
117	14	1	3	0.0475	11.0	55.0	1.0
118	37	0	5	0.19	24.8	124.0	0.5
119	24	1	0	0.2075	23.0	115.0	1.0
120	22	1	0	0.1575	19.8	99.0	1.0
121	30	1	4	0.0975	16.2	81.0	1.0
122	60	0	5	0.215	29.0	145.0	0.5
123	25	0	5	0.0875	19.8	99.0	0.0
124	25	1	0	0.1875	21.6	108.0	1.0
125	67	1	4	0.205	34.0	170.0	1.0
126	20	0	5	0.08	15.0	75.0	0.5
127	48	0	5	0.2025	24.6	123.0	0.0
