i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	31	1	0	0.1225	22.0	110.0	1.0
2	40	0	5	0.185	21.8	109.0	0.8
3	29	1	0	0.1525	21.8	109.0	1.0
4	36	0	5	0.205	25.2	126.0	0.6
5	27	1	0	0.0975	14.4	72.0	1.0
6	34	1	2	0.1875	22.4	112.0	1.0
7	79	1	4	0.1675	29.8	149.0	1.0
8	42	0	5	0.1175	19.4	97.0	0.2
9	29	0	5	0.1225	16.8	84.0	0.4
10	43	0	5	0.135	22.4	112.0	0.6
11	34	1	0	0.1575	19.4	97.0	1.0
12	38	1	0	0.195	22.8	114.0	1.0
13	33	0	5	0.1625	20.8	104.0	0.6
14	34	1	2	0.1475	23.6	118.0	1.0
15	33	1	0	0.2175	27.8	139.0	1.0
16	46	1	1	0.235	27.8	139.0	1.0
17	27	1	0	0.1325	17.4	87.0	1.0
18	53	1	3	0.2275	29.6	148.0	1.0
19	32	1	1	0.2	27.8	139.0	1.0
20	43	1	4	0.165	22.6	113.0	1.0
21	37	1	0	0.1825	30.0	150.0	1.0
22	59	0	5	0.165	22.4	112.0	0.6
23	61	0	5	0.23	28.2	141.0	0.8
24	48	1	3	0.25	27.8	139.0	1.0
25	29	1	0	0.19	22.8	114.0	1.0
26	56	0	5	0.225	25.2	126.0	0.6
27	42	1	1	0.165	22.8	114.0	1.0
28	35	1	2	0.1875	19.2	96.0	1.0
29	45	1	3	0.135	24.2	121.0	1.0
30	40	1	2	0.1825	25.0	125.0	1.0
31	34	1	1	0.2075	24.4	122.0	1.0
32	34	0	5	0.195	22.4	112.0	0.4
33	29	1	0	0.165	21.4	107.0	1.0
34	39	1	2	0.1875	21.6	108.0	1.0
35	35	1	2	0.1375	22.0	110.0	1.0
36	39	1	4	0.17	19.4	97.0	1.0
37	27	1	0	0.1425	20.0	100.0	1.0
38	38	1	0	0.1725	22.6	113.0	1.0
39	42	0	5	0.1375	22.2	111.0	0.8
40	54	1	2	0.245	32.4	162.0	1.0
41	30	1	1	0.1925	24.0	120.0	1.0
42	28	0	5	0.12	19.8	99.0	0.2
43	36	1	2	0.22	21.2	106.0	1.0
44	42	1	1	0.1475	25.8	129.0	1.0
45	45	1	1	0.235	25.4	127.0	1.0
46	98	1	4	0.1775	33.2	166.0	1.0
47	39	0	5	0.1775	24.6	123.0	0.6
48	39	1	0	0.1275	31.4	157.0	1.0
49	80	0	5	0.225	32.0	160.0	0.8
50	54	1	2	0.24	29.6	148.0	1.0
51	66	1	3	0.1825	27.0	135.0	1.0
52	37	1	0	0.215	23.2	116.0	1.0
53	25	1	2	0.1075	20.0	100.0	1.0
54	34	1	1	0.155	20.4	102.0	1.0
55	22	1	0	0.1075	15.4	77.0	1.0
56	54	1	3	0.2475	32.0	160.0	1.0
57	20	0	5	0.1	13.0	65.0	0.6
58	22	1	2	0.09	11.4	57.0	1.0
59	38	1	1	0.1525	22.0	110.0	1.0
60	34	1	0	0.1525	19.2	96.0	1.0
61	29	1	1	0.13	18.0	90.0	1.0
62	16	1	0	0.0925	11.4	57.0	1.0
