i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	63	1	0	0.15	63.0	63.0	1.0
2	40	0	1	0.09	38.0	38.0	0.0
3	21	0	1	0.0475	19.0	19.0	0.0
4	27	0	1	0.0625	25.0	25.0	0.3333333333333333
5	40	0	1	0.09	38.0	38.0	0.6666666666666666
6	16	0	1	0.035	14.0	14.0	0.0
7	52	0	1	0.12	50.0	50.0	0.3333333333333333
8	36	0	1	0.0825	34.0	34.0	0.0
9	82	1	0	0.2	82.0	82.0	1.0
10	11	0	1	0.0225	9.0	9.0	0.0
11	16	0	1	0.035	14.0	14.0	0.0
12	16	0	1	0.035	14.0	14.0	0.0
13	26	0	1	0.06	24.0	24.0	0.3333333333333333
14	58	1	0	0.1375	58.0	58.0	1.0
15	48	0	1	0.1125	46.0	46.0	0.0
16	43	0	1	0.1	41.0	41.0	0.6666666666666666
17	21	0	1	0.0475	19.0	19.0	0.0
18	26	0	1	0.0575	24.0	24.0	0.3333333333333333
19	43	0	1	0.1	41.0	41.0	0.3333333333333333
20	35	0	1	0.0775	33.0	33.0	0.6666666666666666
21	42	0	1	0.095	40.0	40.0	0.3333333333333333
22	11	0	1	0.0225	9.0	9.0	0.0
23	24	0	1	0.055	22.0	22.0	0.3333333333333333
24	58	0	1	0.135	56.0	56.0	0.6666666666666666
25	18	0	1	0.04	16.0	16.0	0.0
26	39	0	1	0.09	37.0	37.0	0.0
27	20	0	1	0.045	18.0	18.0	0.0
28	58	1	0	0.135	58.0	58.0	1.0
29	38	0	1	0.0875	36.0	36.0	0.6666666666666666
30	12	0	1	0.025	10.0	10.0	0.0
31	23	0	1	0.0525	21.0	21.0	0.0
32	89	1	0	0.2025	89.0	89.0	1.0
33	101	1	0	0.215	101.0	101.0	1.0
34	34	0	1	0.08	32.0	32.0	0.3333333333333333
35	11	0	1	0.0225	9.0	9.0	0.3333333333333333
36	58	1	0	0.1025	58.0	58.0	1.0
37	38	0	1	0.085	36.0	36.0	0.3333333333333333
38	16	0	1	0.035	14.0	14.0	0.0
39	24	0	1	0.055	22.0	22.0	0.3333333333333333
40	38	0	1	0.0875	36.0	36.0	0.0
41	63	0	1	0.145	61.0	61.0	0.6666666666666666
42	19	0	1	0.0425	17.0	17.0	0.3333333333333333
43	20	0	1	0.045	18.0	18.0	0.0
44	6	0	1	0.01	4.0	4.0	0.3333333333333333
45	6	0	1	0.01	4.0	4.0	0.0
46	17	0	1	0.0375	15.0	15.0	0.0
47	39	0	1	0.0925	37.0	37.0	0.3333333333333333
48	51	1	0	0.1225	51.0	51.0	1.0
49	17	0	1	0.0375	15.0	15.0	0.0
50	53	0	1	0.1175	51.0	51.0	0.3333333333333333
51	30	0	1	0.07	28.0	28.0	0.3333333333333333
52	22	0	1	0.05	20.0	20.0	0.0
53	15	0	1	0.0325	13.0	13.0	0.0
54	28	0	1	0.0625	26.0	26.0	0.0
55	33	0	1	0.0775	31.0	31.0	0.0
56	34	0	1	0.0775	32.0	32.0	0.3333333333333333
57	28	0	1	0.065	26.0	26.0	0.0
58	38	0	1	0.0875	36.0	36.0	0.3333333333333333
59	16	0	1	0.035	14.0	14.0	0.0
60	42	0	1	0.095	40.0	40.0	0.6666666666666666
61	17	0	1	0.0375	15.0	15.0	0.0
62	53	0	1	0.1	51.0	51.0	0.3333333333333333
