	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found	all_hiders_found
0	1	25	False	1	0.0575	23.0	23.0	0.0	0
1	2	21	True	0	0.0525	21.0	21.0	1.0	1
2	3	15	False	1	0.0325	13.0	13.0	0.0	0
3	4	23	False	1	0.0525	21.0	21.0	0.0	0
4	5	21	False	1	0.0475	19.0	19.0	0.0	0
5	6	45	False	1	0.1075	43.0	43.0	0.0	0
6	7	23	False	1	0.0525	21.0	21.0	0.0	0
7	8	31	True	0	0.0775	31.0	31.0	1.0	1
8	9	8	False	1	0.015	6.0	6.0	0.0	0
9	10	39	False	1	0.0925	37.0	37.0	0.0	0
10	11	32	False	1	0.075	30.0	30.0	0.0	0
11	12	38	True	0	0.095	38.0	38.0	1.0	1
12	13	17	False	1	0.0375	15.0	15.0	0.0	0
13	14	22	False	1	0.05	20.0	20.0	0.0	0
14	15	21	True	0	0.0525	21.0	21.0	1.0	1
15	16	15	False	1	0.0325	13.0	13.0	0.0	0
16	17	60	False	1	0.1425	58.0	58.0	0.0	0
17	18	5	False	1	0.0075	3.0	3.0	0.0	0
18	19	28	False	1	0.065	26.0	26.0	0.0	0
19	20	28	False	1	0.065	26.0	26.0	0.0	0
20	21	19	False	1	0.0425	17.0	17.0	0.0	0
21	22	24	False	1	0.055	22.0	22.0	0.0	0
22	23	26	False	1	0.06	24.0	24.0	0.0	0
23	24	12	False	1	0.025	10.0	10.0	0.0	0
24	25	38	False	1	0.09	36.0	36.0	0.0	0
25	26	27	False	1	0.0625	25.0	25.0	0.0	0
26	27	11	False	1	0.0225	9.0	9.0	0.0	0
27	28	23	True	0	0.0575	23.0	23.0	1.0	1
28	29	10	False	1	0.02	8.0	8.0	0.0	0
29	30	7	False	1	0.0125	5.0	5.0	0.0	0
30	31	26	False	1	0.06	24.0	24.0	0.0	0
31	32	16	True	0	0.04	16.0	16.0	1.0	1
32	33	23	False	1	0.0525	21.0	21.0	0.0	0
33	34	37	False	1	0.085	35.0	35.0	0.0	0
34	35	6	False	1	0.01	4.0	4.0	0.0	0
