	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found	all_hiders_found
0	1	21	True	3	0.0525	9.6	48.0	1.0	1
1	2	33	True	3	0.0825	24.6	123.0	1.0	1
2	3	37	False	5	0.0875	29.0	145.0	0.5	0
3	4	34	True	3	0.085	32.0	160.0	1.0	1
4	5	42	True	3	0.105	37.4	187.0	1.0	1
5	6	19	True	3	0.0475	13.2	66.0	1.0	1
6	7	35	True	4	0.0875	24.0	120.0	1.0	1
7	8	28	True	0	0.07	28.0	140.0	1.0	1
8	9	40	True	4	0.1	15.6	78.0	1.0	1
9	10	23	False	5	0.0525	21.0	105.0	0.0	0
10	11	36	True	4	0.0875	24.4	122.0	1.0	1
11	12	39	True	4	0.0975	23.0	115.0	1.0	1
12	13	32	True	4	0.0775	15.0	75.0	1.0	1
13	14	31	False	5	0.0725	24.2	121.0	0.5	0
14	15	20	True	1	0.05	19.8	99.0	1.0	1
15	16	39	True	4	0.0975	27.0	135.0	1.0	1
16	17	35	True	2	0.0875	25.4	127.0	1.0	1
17	18	37	True	2	0.0925	29.8	149.0	1.0	1
18	19	37	True	4	0.0925	32.2	161.0	1.0	1
19	20	47	True	4	0.1175	30.6	153.0	1.0	1
20	21	20	True	3	0.05	17.4	87.0	1.0	1
21	22	50	True	3	0.125	29.8	149.0	1.0	1
22	23	22	False	5	0.05	15.2	76.0	0.5	0
23	24	29	True	4	0.0725	18.0	90.0	1.0	1
24	25	48	True	3	0.12	24.0	120.0	1.0	1
25	26	54	True	3	0.135	31.6	158.0	1.0	1
26	27	54	True	4	0.13	29.2	146.0	1.0	1
27	28	27	False	5	0.0625	13.0	65.0	0.0	0
28	29	24	True	1	0.0575	22.6	113.0	1.0	1
29	30	37	True	2	0.0925	33.2	166.0	1.0	1
30	31	29	True	4	0.0725	18.0	90.0	1.0	1
31	32	49	True	2	0.1225	40.4	202.0	1.0	1
32	33	32	False	5	0.075	23.8	119.0	0.5	0
