	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found	all_hiders_found
0	1	19	False	1	0.0425	17.0	17.0	0.0	0
1	2	49	True	0	0.1225	49.0	49.0	1.0	1
2	3	25	False	1	0.0575	23.0	23.0	0.6	0
3	4	7	False	1	0.0125	5.0	5.0	0.0	0
4	5	38	False	1	0.09	36.0	36.0	0.4	0
5	6	36	False	1	0.0825	34.0	34.0	0.8	0
6	7	46	False	1	0.11	44.0	44.0	0.6	0
7	8	60	False	1	0.145	58.0	58.0	0.8	0
8	9	40	True	0	0.1	40.0	40.0	1.0	1
9	10	17	False	1	0.0375	15.0	15.0	0.2	0
10	11	21	False	1	0.0475	19.0	19.0	0.2	0
11	12	42	True	0	0.105	42.0	42.0	1.0	1
12	13	60	False	1	0.145	58.0	58.0	0.8	0
13	14	35	False	1	0.0825	33.0	33.0	0.4	0
14	15	3	False	1	0.0025	1.0	1.0	0.0	0
15	16	34	False	1	0.08	32.0	32.0	0.6	0
16	17	55	True	0	0.1375	55.0	55.0	1.0	1
17	18	53	True	0	0.1325	53.0	53.0	1.0	1
18	19	19	False	1	0.0425	17.0	17.0	0.6	0
19	20	31	False	1	0.0725	29.0	29.0	0.4	0
20	21	27	False	1	0.0625	25.0	25.0	0.4	0
21	22	53	True	0	0.1325	53.0	53.0	1.0	1
22	23	19	False	1	0.0425	17.0	17.0	0.0	0
23	24	50	True	0	0.1225	50.0	50.0	1.0	1
24	25	53	False	1	0.1275	51.0	51.0	0.8	0
25	26	52	True	0	0.13	52.0	52.0	1.0	1
26	27	47	True	0	0.11	47.0	47.0	1.0	1
27	28	40	False	1	0.095	38.0	38.0	0.6	0
28	29	12	False	1	0.025	10.0	10.0	0.0	0
29	30	22	False	1	0.05	20.0	20.0	0.0	0
30	31	27	False	1	0.0625	25.0	25.0	0.2	0
31	32	20	False	1	0.045	18.0	18.0	0.0	0
32	33	15	False	1	0.0325	13.0	13.0	0.0	0
33	34	15	False	1	0.0325	13.0	13.0	0.0	0
34	35	34	False	1	0.08	32.0	32.0	0.6	0
35	36	11	False	1	0.0225	9.0	9.0	0.0	0
36	37	28	False	1	0.065	26.0	26.0	0.6	0
37	38	7	False	1	0.0125	5.0	5.0	0.0	0
38	39	37	True	0	0.0925	37.0	37.0	1.0	1
39	40	59	True	0	0.125	59.0	59.0	1.0	1
40	41	30	False	1	0.07	28.0	28.0	0.4	0
41	42	44	False	1	0.105	42.0	42.0	0.8	0
42	43	12	False	1	0.025	10.0	10.0	0.0	0
43	44	14	False	1	0.03	12.0	12.0	0.2	0
44	45	17	False	1	0.0375	15.0	15.0	0.2	0
45	46	49	True	0	0.1075	49.0	49.0	1.0	1
46	47	30	False	1	0.07	28.0	28.0	0.4	0
47	48	15	False	1	0.0325	13.0	13.0	0.2	0
48	49	18	False	1	0.04	16.0	16.0	0.4	0
49	50	3	False	1	0.0025	1.0	1.0	0.0	0
50	51	10	False	1	0.02	8.0	8.0	0.0	0
51	52	65	False	1	0.155	63.0	63.0	0.8	0
52	53	11	False	1	0.0225	9.0	9.0	0.0	0
53	54	24	False	1	0.055	22.0	22.0	0.2	0
54	55	42	False	1	0.085	40.0	40.0	0.6	0
55	56	23	False	1	0.0475	21.0	21.0	0.4	0
56	57	10	False	1	0.02	8.0	8.0	0.2	0
57	58	20	False	1	0.045	18.0	18.0	0.4	0
58	59	13	False	1	0.0275	11.0	11.0	0.0	0
59	60	18	False	1	0.04	16.0	16.0	0.2	0
60	61	49	False	1	0.1	47.0	47.0	0.8	0
61	62	22	False	1	0.05	20.0	20.0	0.0	0
62	63	38	False	1	0.09	36.0	36.0	0.6	0
63	64	25	False	1	0.0575	23.0	23.0	0.4	0
64	65	13	False	1	0.0275	11.0	11.0	0.0	0
65	66	51	False	1	0.115	49.0	49.0	0.8	0
66	67	36	False	1	0.085	34.0	34.0	0.6	0
67	68	20	False	1	0.045	18.0	18.0	0.2	0
68	69	47	True	0	0.1175	47.0	47.0	1.0	1
69	70	53	True	0	0.13	53.0	53.0	1.0	1
70	71	13	False	1	0.0275	11.0	11.0	0.0	0
71	72	34	False	1	0.08	32.0	32.0	0.4	0
72	73	21	False	1	0.0475	19.0	19.0	0.0	0
73	74	11	False	1	0.0225	9.0	9.0	0.0	0
74	75	61	True	0	0.1525	61.0	61.0	1.0	1
75	76	47	False	1	0.1125	45.0	45.0	0.6	0
76	77	12	False	1	0.025	10.0	10.0	0.0	0
77	78	44	False	1	0.105	42.0	42.0	0.4	0
78	79	12	False	1	0.025	10.0	10.0	0.2	0
79	80	22	False	1	0.05	20.0	20.0	0.2	0
80	81	11	False	1	0.0225	9.0	9.0	0.0	0
81	82	45	True	0	0.1125	45.0	45.0	1.0	1
82	83	26	False	1	0.06	24.0	24.0	0.4	0
83	84	42	True	0	0.105	42.0	42.0	1.0	1
84	85	53	False	1	0.1275	51.0	51.0	0.8	0
85	86	39	False	1	0.0925	37.0	37.0	0.4	0
86	87	47	True	0	0.1175	47.0	47.0	1.0	1
87	88	25	False	1	0.0575	23.0	23.0	0.2	0
88	89	20	False	1	0.045	18.0	18.0	0.2	0
89	90	42	True	0	0.1025	42.0	42.0	1.0	1
90	91	8	False	1	0.015	6.0	6.0	0.0	0
91	92	41	True	0	0.1	41.0	41.0	1.0	1
92	93	5	False	1	0.0075	3.0	3.0	0.0	0
93	94	4	False	1	0.005	2.0	2.0	0.0	0
94	95	9	False	1	0.0175	7.0	7.0	0.0	0
95	96	32	False	1	0.075	30.0	30.0	0.4	0
96	97	46	True	0	0.115	46.0	46.0	1.0	1
97	98	11	False	1	0.0225	9.0	9.0	0.0	0
98	99	27	False	1	0.0625	25.0	25.0	0.6	0
99	100	17	False	1	0.0375	15.0	15.0	0.2	0
100	101	21	False	1	0.0475	19.0	19.0	0.2	0
101	102	42	True	0	0.105	42.0	42.0	1.0	1
102	103	28	False	1	0.065	26.0	26.0	0.2	0
103	104	7	False	1	0.0125	5.0	5.0	0.0	0
104	105	46	True	0	0.115	46.0	46.0	1.0	1
105	106	9	False	1	0.0175	7.0	7.0	0.0	0
106	107	18	False	1	0.04	16.0	16.0	0.0	0
107	108	31	False	1	0.0725	29.0	29.0	0.4	0
108	109	41	False	1	0.0975	39.0	39.0	0.6	0
109	110	34	False	1	0.08	32.0	32.0	0.6	0
110	111	22	False	1	0.05	20.0	20.0	0.0	0
111	112	25	False	1	0.0575	23.0	23.0	0.4	0
112	113	32	False	1	0.075	30.0	30.0	0.2	0
113	114	9	False	1	0.0175	7.0	7.0	0.0	0
114	115	55	True	0	0.1375	55.0	55.0	1.0	1
115	116	25	False	1	0.0575	23.0	23.0	0.4	0
116	117	11	False	1	0.0225	9.0	9.0	0.2	0
117	118	49	False	1	0.115	47.0	47.0	0.8	0
118	119	34	False	1	0.08	32.0	32.0	0.6	0
119	120	55	False	1	0.1325	53.0	53.0	0.8	0
120	121	37	False	1	0.0875	35.0	35.0	0.4	0
121	122	28	False	1	0.065	26.0	26.0	0.4	0
122	123	51	True	0	0.1275	51.0	51.0	1.0	1
123	124	12	False	1	0.025	10.0	10.0	0.0	0
124	125	45	True	0	0.1125	45.0	45.0	1.0	1
125	126	46	True	0	0.115	46.0	46.0	1.0	1
126	127	38	True	0	0.0925	38.0	38.0	1.0	1
127	128	37	True	0	0.0925	37.0	37.0	1.0	1
128	129	24	False	1	0.0525	22.0	22.0	0.4	0
129	130	45	False	1	0.1075	43.0	43.0	0.8	0
130	131	53	True	0	0.125	53.0	53.0	1.0	1
131	132	21	False	1	0.0475	19.0	19.0	0.4	0
132	133	31	False	1	0.0725	29.0	29.0	0.2	0
133	134	45	True	0	0.1125	45.0	45.0	1.0	1
134	135	35	True	0	0.0875	35.0	35.0	1.0	1
135	136	9	False	1	0.0175	7.0	7.0	0.0	0
136	137	21	False	1	0.0475	19.0	19.0	0.2	0
137	138	27	False	1	0.0625	25.0	25.0	0.4	0
138	139	9	False	1	0.0175	7.0	7.0	0.0	0
139	140	41	True	0	0.1025	41.0	41.0	1.0	1
140	141	22	False	1	0.05	20.0	20.0	0.2	0
141	142	20	False	1	0.045	18.0	18.0	0.4	0
142	143	36	False	1	0.085	34.0	34.0	0.2	0
143	144	32	False	1	0.075	30.0	30.0	0.4	0
144	145	41	True	0	0.1025	41.0	41.0	1.0	1
145	146	13	False	1	0.0275	11.0	11.0	0.0	0
146	147	33	False	1	0.0775	31.0	31.0	0.6	0
147	148	13	False	1	0.0275	11.0	11.0	0.2	0
148	149	29	False	1	0.0675	27.0	27.0	0.4	0
149	150	14	False	1	0.03	12.0	12.0	0.0	0
150	151	19	False	1	0.0425	17.0	17.0	0.4	0
151	152	44	True	0	0.11	44.0	44.0	1.0	1
152	153	18	False	1	0.04	16.0	16.0	0.4	0
153	154	47	True	0	0.1175	47.0	47.0	1.0	1
154	155	22	False	1	0.05	20.0	20.0	0.4	0
155	156	47	True	0	0.1175	47.0	47.0	1.0	1
156	157	14	False	1	0.03	12.0	12.0	0.0	0
157	158	25	False	1	0.0575	23.0	23.0	0.4	0
158	159	44	True	0	0.11	44.0	44.0	1.0	1
159	160	13	False	1	0.0275	11.0	11.0	0.2	0
160	161	11	False	1	0.0225	9.0	9.0	0.0	0
161	162	51	True	0	0.1275	51.0	51.0	1.0	1
162	163	44	True	0	0.11	44.0	44.0	1.0	1
163	164	26	False	1	0.06	24.0	24.0	0.4	0
164	165	22	False	1	0.0475	20.0	20.0	0.4	0
165	166	39	False	1	0.0925	37.0	37.0	0.4	0
166	167	5	False	1	0.0075	3.0	3.0	0.0	0
167	168	34	False	1	0.06	32.0	32.0	0.2	0
168	169	5	False	1	0.0075	3.0	3.0	0.0	0
169	170	9	False	1	0.0175	7.0	7.0	0.0	0
170	171	38	False	1	0.0875	36.0	36.0	0.4	0
171	172	40	True	0	0.1	40.0	40.0	1.0	1
172	173	19	False	1	0.0425	17.0	17.0	0.0	0
173	174	15	False	1	0.0325	13.0	13.0	0.0	0
174	175	5	False	1	0.0075	3.0	3.0	0.0	0
175	176	50	False	1	0.1175	48.0	48.0	0.6	0
176	177	40	False	1	0.095	38.0	38.0	0.6	0
177	178	14	False	1	0.03	12.0	12.0	0.0	0
178	179	21	False	1	0.0475	19.0	19.0	0.4	0
179	180	18	False	1	0.04	16.0	16.0	0.4	0
180	181	14	False	1	0.03	12.0	12.0	0.0	0
181	182	46	False	1	0.11	44.0	44.0	0.8	0
182	183	15	False	1	0.0325	13.0	13.0	0.0	0
183	184	19	False	1	0.0425	17.0	17.0	0.0	0
184	185	38	False	1	0.09	36.0	36.0	0.6	0
185	186	21	False	1	0.0475	19.0	19.0	0.2	0
186	187	7	False	1	0.0125	5.0	5.0	0.0	0
187	188	29	False	1	0.0675	27.0	27.0	0.4	0
188	189	61	True	0	0.1475	61.0	61.0	1.0	1
189	190	45	True	0	0.1125	45.0	45.0	1.0	1
190	191	34	False	1	0.08	32.0	32.0	0.6	0
191	192	11	False	1	0.0225	9.0	9.0	0.0	0
192	193	36	False	1	0.0825	34.0	34.0	0.4	0
193	194	12	False	1	0.025	10.0	10.0	0.0	0
194	195	26	False	1	0.06	24.0	24.0	0.4	0
195	196	20	False	1	0.045	18.0	18.0	0.2	0
196	197	41	True	0	0.1025	41.0	41.0	1.0	1
197	198	22	False	1	0.05	20.0	20.0	0.2	0
198	199	33	False	1	0.0775	31.0	31.0	0.4	0
199	200	16	False	1	0.035	14.0	14.0	0.2	0
200	201	5	False	1	0.0075	3.0	3.0	0.0	0
201	202	56	True	0	0.14	56.0	56.0	1.0	1
202	203	10	False	1	0.02	8.0	8.0	0.2	0
203	204	44	False	1	0.105	42.0	42.0	0.4	0
204	205	46	False	1	0.1075	44.0	44.0	0.6	0
205	206	34	False	1	0.0625	32.0	32.0	0.2	0
206	207	36	False	1	0.085	34.0	34.0	0.4	0
207	208	49	False	1	0.11	47.0	47.0	0.8	0
208	209	35	False	1	0.0825	33.0	33.0	0.4	0
209	210	47	True	0	0.1175	47.0	47.0	1.0	1
210	211	32	False	1	0.075	30.0	30.0	0.6	0
211	212	57	True	0	0.14	57.0	57.0	1.0	1
212	213	28	False	1	0.065	26.0	26.0	0.2	0
213	214	36	False	1	0.085	34.0	34.0	0.4	0
214	215	34	False	1	0.0775	32.0	32.0	0.8	0
215	216	15	False	1	0.0325	13.0	13.0	0.0	0
216	217	31	False	1	0.0725	29.0	29.0	0.2	0
217	218	27	False	1	0.0625	25.0	25.0	0.6	0
218	219	9	False	1	0.0175	7.0	7.0	0.0	0
219	220	47	False	1	0.1125	45.0	45.0	0.4	0
220	221	51	False	1	0.1225	49.0	49.0	0.8	0
221	222	25	False	1	0.0475	23.0	23.0	0.4	0
222	223	11	False	1	0.0225	9.0	9.0	0.0	0
223	224	19	False	1	0.0425	17.0	17.0	0.2	0
224	225	21	False	1	0.0475	19.0	19.0	0.0	0
225	226	2	False	1	0.0	0.0	0.0	0.0	0
226	227	22	False	1	0.05	20.0	20.0	0.0	0
227	228	17	False	1	0.0375	15.0	15.0	0.2	0
228	229	61	False	1	0.1475	59.0	59.0	0.8	0
229	230	48	False	1	0.115	46.0	46.0	0.6	0
230	231	47	True	0	0.115	47.0	47.0	1.0	1
231	232	29	False	1	0.0675	27.0	27.0	0.6	0
232	233	28	False	1	0.065	26.0	26.0	0.2	0
233	234	14	False	1	0.03	12.0	12.0	0.0	0
234	235	36	False	1	0.0825	34.0	34.0	0.6	0
235	236	18	False	1	0.04	16.0	16.0	0.2	0
236	237	31	False	1	0.07	29.0	29.0	0.4	0
237	238	6	False	1	0.01	4.0	4.0	0.0	0
238	239	40	True	0	0.085	40.0	40.0	1.0	1
239	240	23	False	1	0.05	21.0	21.0	0.4	0
240	241	14	False	1	0.03	12.0	12.0	0.0	0
241	242	45	True	0	0.11	45.0	45.0	1.0	1
242	243	27	False	1	0.0625	25.0	25.0	0.4	0
243	244	26	False	1	0.055	24.0	24.0	0.2	0
244	245	44	False	1	0.1025	42.0	42.0	0.8	0
245	246	33	False	1	0.0775	31.0	31.0	0.6	0
246	247	17	False	1	0.0375	15.0	15.0	0.2	0
247	248	19	False	1	0.0425	17.0	17.0	0.2	0
248	249	9	False	1	0.0175	7.0	7.0	0.0	0
249	250	34	False	1	0.08	32.0	32.0	0.4	0
250	251	45	False	1	0.1075	43.0	43.0	0.4	0
251	252	11	False	1	0.0225	9.0	9.0	0.0	0
252	253	47	True	0	0.1175	47.0	47.0	1.0	1
253	254	38	True	0	0.0925	38.0	38.0	1.0	1
254	255	22	True	0	0.055	22.0	22.0	1.0	1
255	256	6	False	1	0.01	4.0	4.0	0.0	0
256	257	51	True	0	0.125	51.0	51.0	1.0	1
257	258	32	False	1	0.075	30.0	30.0	0.2	0
258	259	11	False	1	0.0225	9.0	9.0	0.0	0
259	260	33	False	1	0.0775	31.0	31.0	0.4	0
260	261	7	False	1	0.0125	5.0	5.0	0.0	0
261	262	33	True	0	0.0825	33.0	33.0	1.0	1
262	263	27	False	1	0.0625	25.0	25.0	0.2	0
263	264	22	False	1	0.05	20.0	20.0	0.2	0
264	265	47	False	1	0.1125	45.0	45.0	0.6	0
265	266	16	False	1	0.035	14.0	14.0	0.4	0
266	267	16	False	1	0.035	14.0	14.0	0.0	0
267	268	12	False	1	0.025	10.0	10.0	0.0	0
268	269	16	False	1	0.035	14.0	14.0	0.2	0
269	270	43	True	0	0.105	43.0	43.0	1.0	1
270	271	12	False	1	0.025	10.0	10.0	0.0	0
271	272	41	False	1	0.0975	39.0	39.0	0.4	0
272	273	30	False	1	0.07	28.0	28.0	0.6	0
273	274	5	False	1	0.0075	3.0	3.0	0.0	0
274	275	40	False	1	0.09	38.0	38.0	0.4	0
275	276	33	True	0	0.0825	33.0	33.0	1.0	1
276	277	36	False	1	0.08	34.0	34.0	0.6	0
277	278	44	True	0	0.11	44.0	44.0	1.0	1
278	279	39	True	0	0.0975	39.0	39.0	1.0	1
279	280	58	True	0	0.145	58.0	58.0	1.0	1
280	281	29	False	1	0.0675	27.0	27.0	0.2	0
281	282	21	False	1	0.0475	19.0	19.0	0.2	0
282	283	40	True	0	0.1	40.0	40.0	1.0	1
283	284	20	False	1	0.045	18.0	18.0	0.0	0
284	285	50	True	0	0.125	50.0	50.0	1.0	1
285	286	11	False	1	0.0225	9.0	9.0	0.0	0
286	287	53	True	0	0.1325	53.0	53.0	1.0	1
287	288	40	False	1	0.095	38.0	38.0	0.6	0
288	289	14	False	1	0.03	12.0	12.0	0.0	0
289	290	19	False	1	0.0425	17.0	17.0	0.2	0
290	291	33	False	1	0.0775	31.0	31.0	0.4	0
291	292	52	False	1	0.125	50.0	50.0	0.6	0
292	293	14	False	1	0.03	12.0	12.0	0.0	0
293	294	40	True	0	0.1	40.0	40.0	1.0	1
294	295	17	False	1	0.0375	15.0	15.0	0.2	0
295	296	28	False	1	0.065	26.0	26.0	0.4	0
296	297	19	False	1	0.04	17.0	17.0	0.2	0
297	298	54	True	0	0.135	54.0	54.0	1.0	1
298	299	5	False	1	0.0075	3.0	3.0	0.0	0
299	300	19	False	1	0.0425	17.0	17.0	0.0	0
300	301	45	False	1	0.1075	43.0	43.0	0.6	0
301	302	6	False	1	0.01	4.0	4.0	0.0	0
302	303	6	False	1	0.01	4.0	4.0	0.0	0
303	304	12	False	1	0.025	10.0	10.0	0.2	0
304	305	46	True	0	0.115	46.0	46.0	1.0	1
305	306	8	False	1	0.015	6.0	6.0	0.0	0
306	307	37	True	0	0.0925	37.0	37.0	1.0	1
307	308	39	False	1	0.0925	37.0	37.0	0.6	0
308	309	60	True	0	0.15	60.0	60.0	1.0	1
309	310	10	False	1	0.02	8.0	8.0	0.0	0
310	311	8	False	1	0.015	6.0	6.0	0.0	0
311	312	17	False	1	0.035	15.0	15.0	0.2	0
312	313	17	False	1	0.0375	15.0	15.0	0.2	0
313	314	29	True	0	0.0675	29.0	29.0	1.0	1
314	315	35	False	1	0.0825	33.0	33.0	0.4	0
315	316	42	True	0	0.105	42.0	42.0	1.0	1
316	317	44	False	1	0.105	42.0	42.0	0.8	0
317	318	27	False	1	0.0625	25.0	25.0	0.4	0
318	319	34	False	1	0.08	32.0	32.0	0.6	0
319	320	44	True	0	0.0925	44.0	44.0	1.0	1
320	321	30	False	1	0.07	28.0	28.0	0.4	0
321	322	17	False	1	0.0375	15.0	15.0	0.0	0
322	323	40	False	1	0.095	38.0	38.0	0.8	0
323	324	37	False	1	0.0875	35.0	35.0	0.4	0
324	325	46	True	0	0.115	46.0	46.0	1.0	1
325	326	42	False	1	0.0975	40.0	40.0	0.4	0
326	327	16	False	1	0.035	14.0	14.0	0.2	0
327	328	16	False	1	0.035	14.0	14.0	0.0	0
328	329	44	True	0	0.11	44.0	44.0	1.0	1
329	330	11	False	1	0.0225	9.0	9.0	0.0	0
330	331	16	False	1	0.035	14.0	14.0	0.2	0
331	332	52	True	0	0.13	52.0	52.0	1.0	1
332	333	14	False	1	0.03	12.0	12.0	0.0	0
333	334	3	False	1	0.0025	1.0	1.0	0.0	0
334	335	22	False	1	0.05	20.0	20.0	0.0	0
335	336	38	True	0	0.095	38.0	38.0	1.0	1
336	337	26	False	1	0.06	24.0	24.0	0.2	0
337	338	2	False	1	0.0	0.0	0.0	0.0	0
338	339	28	False	1	0.065	26.0	26.0	0.4	0
339	340	11	False	1	0.0225	9.0	9.0	0.0	0
340	341	39	False	1	0.0925	37.0	37.0	0.8	0
341	342	43	False	1	0.085	41.0	41.0	0.4	0
342	343	16	False	1	0.035	14.0	14.0	0.2	0
343	344	50	True	0	0.125	50.0	50.0	1.0	1
344	345	36	True	0	0.09	36.0	36.0	1.0	1
345	346	38	False	1	0.09	36.0	36.0	0.6	0
346	347	43	True	0	0.105	43.0	43.0	1.0	1
347	348	48	True	0	0.12	48.0	48.0	1.0	1
348	349	16	False	1	0.035	14.0	14.0	0.2	0
349	350	65	True	0	0.16	65.0	65.0	1.0	1
350	351	9	False	1	0.0175	7.0	7.0	0.2	0
351	352	22	False	1	0.045	20.0	20.0	0.2	0
352	353	14	False	1	0.03	12.0	12.0	0.0	0
353	354	40	False	1	0.095	38.0	38.0	0.6	0
354	355	37	False	1	0.0875	35.0	35.0	0.6	0
355	356	41	True	0	0.1	41.0	41.0	1.0	1
356	357	43	False	1	0.1025	41.0	41.0	0.8	0
357	358	8	False	1	0.015	6.0	6.0	0.0	0
358	359	24	False	1	0.055	22.0	22.0	0.2	0
359	360	30	False	1	0.07	28.0	28.0	0.6	0
360	361	2	False	1	0.0	0.0	0.0	0.0	0
361	362	17	False	1	0.0375	15.0	15.0	0.4	0
362	363	12	False	1	0.025	10.0	10.0	0.2	0
363	364	35	True	0	0.0875	35.0	35.0	1.0	1
364	365	48	False	1	0.1125	46.0	46.0	0.8	0
365	366	49	True	0	0.12	49.0	49.0	1.0	1
366	367	48	True	0	0.12	48.0	48.0	1.0	1
367	368	47	False	1	0.095	45.0	45.0	0.8	0
368	369	10	False	1	0.02	8.0	8.0	0.0	0
369	370	21	False	1	0.0475	19.0	19.0	0.0	0
370	371	38	False	1	0.09	36.0	36.0	0.6	0
371	372	4	False	1	0.005	2.0	2.0	0.0	0
372	373	15	False	1	0.0325	13.0	13.0	0.0	0
373	374	51	True	0	0.12	51.0	51.0	1.0	1
374	375	9	False	1	0.0175	7.0	7.0	0.0	0
375	376	7	False	1	0.0125	5.0	5.0	0.0	0
376	377	36	False	1	0.085	34.0	34.0	0.6	0
377	378	32	False	1	0.075	30.0	30.0	0.4	0
378	379	46	True	0	0.1125	46.0	46.0	1.0	1
379	380	9	False	1	0.0175	7.0	7.0	0.0	0
380	381	11	False	1	0.0225	9.0	9.0	0.0	0
381	382	43	True	0	0.1075	43.0	43.0	1.0	1
382	383	37	True	0	0.0925	37.0	37.0	1.0	1
383	384	34	False	1	0.08	32.0	32.0	0.8	0
384	385	61	True	0	0.1525	61.0	61.0	1.0	1
385	386	24	False	1	0.055	22.0	22.0	0.2	0
386	387	45	True	0	0.1125	45.0	45.0	1.0	1
387	388	35	False	1	0.0825	33.0	33.0	0.6	0
388	389	48	True	0	0.12	48.0	48.0	1.0	1
389	390	33	False	1	0.0775	31.0	31.0	0.6	0
390	391	42	True	0	0.105	42.0	42.0	1.0	1
391	392	22	False	1	0.05	20.0	20.0	0.2	0
392	393	40	True	0	0.0975	40.0	40.0	1.0	1
393	394	9	False	1	0.0175	7.0	7.0	0.0	0
394	395	24	False	1	0.055	22.0	22.0	0.4	0
395	396	58	False	1	0.1375	56.0	56.0	0.6	0
396	397	12	False	1	0.025	10.0	10.0	0.0	0
397	398	21	False	1	0.0475	19.0	19.0	0.2	0
398	399	6	False	1	0.01	4.0	4.0	0.2	0
