i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	54	0	10	0.205	40.3	403.0	0.75
2	58	1	8	0.1925	35.1	351.0	1.0
3	46	1	7	0.1675	35.9	359.0	1.0
4	81	1	9	0.2025	34.2	342.0	1.0
5	34	1	7	0.1275	23.5	235.0	1.0
6	47	1	3	0.1825	44.8	448.0	1.0
7	74	1	8	0.2325	42.2	422.0	1.0
8	130	0	10	0.215	55.1	551.0	0.75
9	62	0	10	0.19	24.3	243.0	0.75
10	51	1	5	0.21	36.0	360.0	1.0
11	53	1	4	0.23	40.2	402.0	1.0
12	40	1	3	0.165	32.1	321.0	1.0
13	50	1	5	0.205	38.5	385.0	1.0
14	42	0	10	0.0875	14.5	145.0	0.75
15	77	1	9	0.2225	25.6	256.0	1.0
16	25	0	10	0.075	17.7	177.0	0.25
17	71	1	5	0.3125	60.1	601.0	1.0
18	87	1	9	0.3075	42.5	425.0	1.0
19	62	1	9	0.195	40.5	405.0	1.0
20	72	1	7	0.24	47.4	474.0	1.0
21	54	1	4	0.205	45.8	458.0	1.0
22	30	1	0	0.1125	30.0	300.0	1.0
23	41	1	7	0.1775	26.1	261.0	1.0
24	54	1	6	0.215	39.7	397.0	1.0
25	49	1	2	0.205	44.7	447.0	1.0
26	44	1	7	0.17	28.0	280.0	1.0
27	63	1	6	0.24	48.9	489.0	1.0
28	56	1	8	0.21	29.6	296.0	1.0
29	48	0	10	0.1225	27.6	276.0	0.25
30	49	1	6	0.1825	35.3	353.0	1.0
31	79	1	9	0.2275	48.3	483.0	1.0
32	75	1	7	0.285	58.4	584.0	1.0
33	55	1	9	0.205	23.1	231.0	1.0
34	58	1	4	0.2875	50.8	508.0	1.0
35	41	1	6	0.16	30.4	304.0	1.0
36	36	1	3	0.17	30.3	303.0	1.0
37	71	1	2	0.2625	65.0	650.0	1.0
38	97	0	10	0.1525	41.6	416.0	0.75
39	51	1	4	0.2175	43.7	437.0	1.0
40	88	1	9	0.265	42.7	427.0	1.0
41	53	1	7	0.195	26.8	268.0	1.0
42	44	1	6	0.2025	36.5	365.0	1.0
43	38	1	8	0.1775	27.7	277.0	1.0
44	53	1	8	0.2025	19.2	192.0	1.0
45	52	1	8	0.115	24.3	243.0	1.0
46	45	1	2	0.2075	39.5	395.0	1.0
47	41	0	10	0.1225	30.1	301.0	0.75
48	38	1	6	0.18	33.3	333.0	1.0
49	54	1	5	0.2225	43.5	435.0	1.0
50	51	1	9	0.1625	23.3	233.0	1.0
51	36	1	3	0.185	29.9	299.0	1.0
52	46	1	4	0.205	40.6	406.0	1.0
53	37	1	2	0.2075	35.6	356.0	1.0
54	44	1	5	0.195	39.5	395.0	1.0
55	64	1	8	0.2225	37.9	379.0	1.0
56	38	1	4	0.195	28.7	287.0	1.0
57	46	1	9	0.1275	28.5	285.0	1.0
58	55	1	8	0.1825	30.5	305.0	1.0
59	34	0	10	0.08	19.1	191.0	0.75
60	38	1	7	0.2	23.5	235.0	1.0
61	81	0	10	0.1625	35.9	359.0	0.75
62	39	1	3	0.2175	34.1	341.0	1.0
63	59	1	8	0.235	37.8	378.0	1.0
64	28	1	3	0.1075	22.8	228.0	1.0
65	61	1	7	0.235	47.2	472.0	1.0
66	57	1	9	0.1875	32.5	325.0	1.0
67	45	1	9	0.165	26.5	265.0	1.0
68	34	1	4	0.145	29.1	291.0	1.0
69	52	0	10	0.1325	24.8	248.0	0.5
70	43	1	7	0.1525	30.5	305.0	1.0
71	31	1	4	0.1625	25.6	256.0	1.0
72	61	1	9	0.1725	29.0	290.0	1.0
73	31	1	8	0.0875	19.0	190.0	1.0
74	47	1	6	0.1875	34.0	340.0	1.0
75	53	0	10	0.2125	29.4	294.0	0.75
76	79	1	7	0.31	47.9	479.0	1.0
77	25	1	0	0.1375	25.0	250.0	1.0
78	64	1	9	0.2275	36.5	365.0	1.0
79	47	1	4	0.205	36.6	366.0	1.0
80	69	1	5	0.305	56.3	563.0	1.0
81	72	1	9	0.1875	43.0	430.0	1.0
82	50	0	10	0.1475	31.5	315.0	0.5
83	42	1	4	0.1475	33.6	336.0	1.0
84	59	1	3	0.2725	53.9	539.0	1.0
85	61	1	3	0.28	54.2	542.0	1.0
86	44	1	7	0.205	28.7	287.0	1.0
87	73	1	9	0.235	32.5	325.0	1.0
88	58	1	8	0.23	37.6	376.0	1.0
89	34	1	4	0.1725	30.2	302.0	1.0
90	31	1	5	0.125	23.9	239.0	1.0
91	26	1	5	0.0975	21.2	212.0	1.0
92	37	1	3	0.1875	35.5	355.0	1.0
93	54	1	7	0.2325	29.3	293.0	1.0
94	29	1	5	0.14	20.4	204.0	1.0
95	41	1	6	0.125	29.8	298.0	1.0
96	59	0	10	0.1425	27.0	270.0	0.75
97	85	0	10	0.185	26.6	266.0	0.75
98	85	0	10	0.2575	36.5	365.0	0.75
99	34	1	6	0.1425	30.4	304.0	1.0
100	35	1	2	0.1625	33.5	335.0	1.0
101	62	1	2	0.305	56.6	566.0	1.0
102	38	1	3	0.17	29.0	290.0	1.0
103	53	0	10	0.12	34.8	348.0	0.5
104	56	0	10	0.2075	32.2	322.0	0.5
105	26	0	10	0.0925	19.2	192.0	0.5
106	80	0	10	0.2375	28.7	287.0	0.75
107	44	1	7	0.185	39.4	394.0	1.0
108	61	1	8	0.2525	38.2	382.0	1.0
109	40	0	10	0.145	24.0	240.0	0.5
110	35	1	2	0.14	32.4	324.0	1.0
111	45	1	2	0.2225	41.8	418.0	1.0
112	61	0	10	0.1775	34.8	348.0	0.75
113	48	1	7	0.2125	26.2	262.0	1.0
114	58	1	3	0.2825	53.5	535.0	1.0
115	40	0	10	0.105	22.5	225.0	0.5
116	91	0	10	0.195	35.8	358.0	0.75
117	48	1	8	0.1525	26.0	260.0	1.0
118	81	1	9	0.195	45.6	456.0	1.0
119	48	1	3	0.195	41.3	413.0	1.0
120	35	1	4	0.1525	27.8	278.0	1.0
121	34	1	3	0.1475	31.8	318.0	1.0
122	55	1	5	0.2225	47.1	471.0	1.0
123	54	1	5	0.245	43.1	431.0	1.0
124	42	0	10	0.1375	29.2	292.0	0.75
125	25	1	6	0.135	17.5	175.0	1.0
126	53	1	3	0.245	50.0	500.0	1.0
127	70	1	4	0.31	54.4	544.0	1.0
128	36	1	5	0.1425	25.6	256.0	1.0
129	57	0	10	0.15	43.6	436.0	0.75
130	70	1	5	0.255	55.8	558.0	1.0
131	73	1	8	0.28	46.9	469.0	1.0
132	50	1	5	0.205	38.5	385.0	1.0
133	73	0	10	0.2275	50.7	507.0	0.75
134	59	1	1	0.255	57.7	577.0	1.0
135	36	1	6	0.15	26.2	262.0	1.0
136	56	1	7	0.23	43.0	430.0	1.0
137	27	1	4	0.1225	16.2	162.0	1.0
