traverse_ordered_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,43,1,0,0.2075,25.8,129.0,1.0,1
2,109,1,2,0.225,29.8,149.0,1.0,1
3,18,0,3,0.065,8.8,44.0,0.3333333333333333,0
4,32,1,1,0.12,15.6,78.0,1.0,1
5,52,0,3,0.1825,20.8,104.0,0.3333333333333333,0
6,48,1,2,0.1175,22.8,114.0,1.0,1
7,36,0,3,0.1675,18.0,90.0,0.6666666666666666,0
8,46,1,0,0.1225,27.6,138.0,1.0,1
9,45,1,2,0.1725,18.8,94.0,1.0,1
10,73,0,3,0.155,26.8,134.0,0.6666666666666666,0
11,58,1,2,0.1725,18.2,91.0,1.0,1
12,28,0,3,0.065,15.6,78.0,0.0,0
13,11,1,0,0.0525,6.6,33.0,1.0,1
14,22,1,2,0.055,11.4,57.0,1.0,1
15,27,1,1,0.1175,15.0,75.0,1.0,1
16,29,0,3,0.1175,10.2,51.0,0.0,0
17,17,0,3,0.075,8.0,40.0,0.0,0
18,33,1,1,0.105,19.6,98.0,1.0,1
19,100,1,2,0.175,39.6,198.0,1.0,1
20,39,0,3,0.0925,17.0,85.0,0.6666666666666666,0
21,28,0,3,0.08,10.8,54.0,0.3333333333333333,0
22,27,1,1,0.1025,16.0,80.0,1.0,1
23,45,1,2,0.1525,20.8,104.0,1.0,1
24,79,1,2,0.1525,22.8,114.0,1.0,1
25,37,0,3,0.1425,16.0,80.0,0.0,0
26,39,0,3,0.115,13.4,67.0,0.3333333333333333,0
27,44,1,0,0.15,26.4,132.0,1.0,1
28,61,1,2,0.15,21.0,105.0,1.0,1
29,35,0,3,0.115,14.2,71.0,0.0,0
30,57,1,2,0.1225,23.6,118.0,1.0,1
31,28,1,1,0.1,14.4,72.0,1.0,1
32,96,1,2,0.21,34.4,172.0,1.0,1
33,43,1,2,0.1625,17.4,87.0,1.0,1
34,26,0,3,0.09,10.8,54.0,0.0,0
35,27,0,3,0.11,12.2,61.0,0.3333333333333333,0
36,31,0,3,0.1225,14.6,73.0,0.6666666666666666,0
37,76,1,2,0.235,30.0,150.0,1.0,1
38,56,0,3,0.2075,23.8,119.0,0.6666666666666666,0
39,44,1,2,0.16,17.2,86.0,1.0,1
40,39,1,1,0.085,19.8,99.0,1.0,1
41,10,0,3,0.0225,4.0,20.0,0.0,0
42,48,0,3,0.0875,18.4,92.0,0.6666666666666666,0
43,25,0,3,0.0925,11.2,56.0,0.3333333333333333,0
44,51,1,1,0.165,22.4,112.0,1.0,1
45,55,0,3,0.075,20.2,101.0,0.6666666666666666,0
46,61,1,1,0.2025,26.6,133.0,1.0,1
47,50,1,2,0.22,24.8,124.0,1.0,1
48,31,1,0,0.1425,18.6,93.0,1.0,1
49,81,0,3,0.2275,29.4,147.0,0.6666666666666666,0
50,45,0,3,0.14,16.6,83.0,0.6666666666666666,0
51,24,0,3,0.055,7.2,36.0,0.6666666666666666,0
52,69,0,3,0.1875,26.8,134.0,0.6666666666666666,0
