i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	32	0	1	0.075	30.0	30.0	0.0
2	25	0	1	0.0575	23.0	23.0	0.0
3	22	0	1	0.05	20.0	20.0	0.0
4	18	1	0	0.045	18.0	18.0	1.0
5	54	0	1	0.13	52.0	52.0	0.0
6	57	1	0	0.125	57.0	57.0	1.0
7	8	0	1	0.015	6.0	6.0	0.0
8	21	0	1	0.0475	19.0	19.0	0.0
9	63	1	0	0.155	63.0	63.0	1.0
10	16	0	1	0.035	14.0	14.0	0.0
11	21	0	1	0.0475	19.0	19.0	0.0
12	15	0	1	0.0325	13.0	13.0	0.0
13	21	0	1	0.0475	19.0	19.0	0.0
14	57	1	0	0.1425	57.0	57.0	1.0
15	23	0	1	0.0525	21.0	21.0	0.0
16	45	1	0	0.1125	45.0	45.0	1.0
17	32	1	0	0.08	32.0	32.0	1.0
18	32	0	1	0.075	30.0	30.0	0.0
19	15	0	1	0.0325	13.0	13.0	0.0
20	15	0	1	0.0325	13.0	13.0	0.0
21	24	0	1	0.055	22.0	22.0	0.0
22	17	0	1	0.0375	15.0	15.0	0.0
23	23	0	1	0.0525	21.0	21.0	0.0
24	65	1	0	0.16	65.0	65.0	1.0
25	52	1	0	0.13	52.0	52.0	1.0
26	31	0	1	0.0725	29.0	29.0	0.0
27	47	0	1	0.1125	45.0	45.0	0.0
28	18	0	1	0.04	16.0	16.0	0.0
29	11	0	1	0.0225	9.0	9.0	0.0
30	31	0	1	0.0725	29.0	29.0	0.0
31	21	0	1	0.0475	19.0	19.0	0.0
32	20	1	0	0.05	20.0	20.0	1.0
33	21	1	0	0.0525	21.0	21.0	1.0
34	25	0	1	0.0575	23.0	23.0	0.0
35	19	0	1	0.0425	17.0	17.0	0.0
36	5	0	1	0.0075	3.0	3.0	0.0
37	17	0	1	0.0375	15.0	15.0	0.0
38	11	0	1	0.0225	9.0	9.0	0.0
39	32	0	1	0.075	30.0	30.0	0.0
40	14	0	1	0.03	12.0	12.0	0.0
41	22	1	0	0.055	22.0	22.0	1.0
42	37	0	1	0.0875	35.0	35.0	0.0
43	16	0	1	0.035	14.0	14.0	0.0
44	23	0	1	0.0525	21.0	21.0	0.0
45	18	0	1	0.04	16.0	16.0	0.0
46	12	0	1	0.025	10.0	10.0	0.0
47	71	0	1	0.1725	69.0	69.0	0.0
48	58	0	1	0.1375	56.0	56.0	0.0
49	5	0	1	0.0075	3.0	3.0	0.0
50	22	0	1	0.05	20.0	20.0	0.0
51	14	0	1	0.03	12.0	12.0	0.0
52	67	0	1	0.1625	65.0	65.0	0.0
53	46	0	1	0.11	44.0	44.0	0.0
54	17	0	1	0.0375	15.0	15.0	0.0
55	26	0	1	0.06	24.0	24.0	0.0
56	23	0	1	0.0525	21.0	21.0	0.0
57	53	1	0	0.1325	53.0	53.0	1.0
58	59	1	0	0.1475	59.0	59.0	1.0
59	13	1	0	0.0325	13.0	13.0	1.0
60	25	0	1	0.0575	23.0	23.0	0.0
61	11	1	0	0.0275	11.0	11.0	1.0
62	55	1	0	0.135	55.0	55.0	1.0
63	10	1	0	0.025	10.0	10.0	1.0
64	17	0	1	0.0375	15.0	15.0	0.0
65	7	0	1	0.0125	5.0	5.0	0.0
66	11	0	1	0.0225	9.0	9.0	0.0
67	5	0	1	0.0075	3.0	3.0	0.0
68	21	0	1	0.0475	19.0	19.0	0.0
69	12	1	0	0.03	12.0	12.0	1.0
70	25	0	1	0.0575	23.0	23.0	0.0
71	13	0	1	0.0275	11.0	11.0	0.0
72	11	0	1	0.0225	9.0	9.0	0.0
73	69	1	0	0.1625	69.0	69.0	1.0
74	22	1	0	0.055	22.0	22.0	1.0
75	32	1	0	0.08	32.0	32.0	1.0
76	12	1	0	0.03	12.0	12.0	1.0
77	13	0	1	0.0275	11.0	11.0	0.0
78	18	0	1	0.04	16.0	16.0	0.0
79	27	0	1	0.0625	25.0	25.0	0.0
80	18	0	1	0.04	16.0	16.0	0.0
81	26	0	1	0.06	24.0	24.0	0.0
82	22	0	1	0.05	20.0	20.0	0.0
83	3	1	0	0.0075	3.0	3.0	1.0
84	32	0	1	0.075	30.0	30.0	0.0
85	11	1	0	0.0275	11.0	11.0	1.0
86	10	0	1	0.02	8.0	8.0	0.0
87	37	1	0	0.0925	37.0	37.0	1.0
88	21	1	0	0.05	21.0	21.0	1.0
89	15	0	1	0.0325	13.0	13.0	0.0
90	46	0	1	0.11	44.0	44.0	0.0
91	37	0	1	0.0875	35.0	35.0	0.0
92	59	1	0	0.085	59.0	59.0	1.0
93	13	0	1	0.0275	11.0	11.0	0.0
94	20	0	1	0.045	18.0	18.0	0.0
95	47	0	1	0.1125	45.0	45.0	0.0
96	13	0	1	0.0275	11.0	11.0	0.0
97	19	0	1	0.0425	17.0	17.0	0.0
98	23	1	0	0.0575	23.0	23.0	1.0
99	51	1	0	0.1275	51.0	51.0	1.0
100	32	0	1	0.075	30.0	30.0	0.0
101	17	1	0	0.0425	17.0	17.0	1.0
102	14	0	1	0.03	12.0	12.0	0.0
103	51	1	0	0.1275	51.0	51.0	1.0
104	19	0	1	0.0425	17.0	17.0	0.0
105	40	0	1	0.095	38.0	38.0	0.0
106	39	1	0	0.0975	39.0	39.0	1.0
107	16	1	0	0.04	16.0	16.0	1.0
108	20	0	1	0.045	18.0	18.0	0.0
109	14	0	1	0.03	12.0	12.0	0.0
110	24	0	1	0.055	22.0	22.0	0.0
111	33	0	1	0.0775	31.0	31.0	0.0
112	52	1	0	0.125	52.0	52.0	1.0
113	26	1	0	0.065	26.0	26.0	1.0
114	36	0	1	0.085	34.0	34.0	0.0
115	19	1	0	0.0475	19.0	19.0	1.0
116	21	0	1	0.0475	19.0	19.0	0.0
117	14	1	0	0.035	14.0	14.0	1.0
118	22	0	1	0.05	20.0	20.0	0.0
119	11	1	0	0.0275	11.0	11.0	1.0
120	13	1	0	0.0325	13.0	13.0	1.0
121	21	0	1	0.0475	19.0	19.0	0.0
122	70	1	0	0.1375	70.0	70.0	1.0
123	9	1	0	0.0225	9.0	9.0	1.0
124	35	0	1	0.0825	33.0	33.0	0.0
125	17	0	1	0.0375	15.0	15.0	0.0
126	28	1	0	0.07	28.0	28.0	1.0
127	31	1	0	0.0775	31.0	31.0	1.0
128	23	1	0	0.0575	23.0	23.0	1.0
129	50	1	0	0.125	50.0	50.0	1.0
130	12	1	0	0.03	12.0	12.0	1.0
131	23	1	0	0.0575	23.0	23.0	1.0
132	32	0	1	0.075	30.0	30.0	0.0
133	35	1	0	0.0875	35.0	35.0	1.0
134	19	1	0	0.0475	19.0	19.0	1.0
135	64	1	0	0.16	64.0	64.0	1.0
136	23	0	1	0.0525	21.0	21.0	0.0
137	29	0	1	0.0675	27.0	27.0	0.0
138	19	1	0	0.0475	19.0	19.0	1.0
139	17	0	1	0.0375	15.0	15.0	0.0
140	47	0	1	0.1125	45.0	45.0	0.0
141	21	0	1	0.0475	19.0	19.0	0.0
142	26	0	1	0.06	24.0	24.0	0.0
143	19	1	0	0.0475	19.0	19.0	1.0
144	62	0	1	0.1475	60.0	60.0	0.0
145	25	0	1	0.0575	23.0	23.0	0.0
146	54	1	0	0.135	54.0	54.0	1.0
147	65	0	1	0.1575	63.0	63.0	0.0
148	27	0	1	0.0625	25.0	25.0	0.0
149	45	0	1	0.1075	43.0	43.0	0.0
150	13	1	0	0.0325	13.0	13.0	1.0
151	9	0	1	0.0175	7.0	7.0	0.0
152	32	0	1	0.075	30.0	30.0	0.0
153	16	1	0	0.04	16.0	16.0	1.0
154	31	1	0	0.0775	31.0	31.0	1.0
155	29	0	1	0.0675	27.0	27.0	0.0
156	21	0	1	0.0475	19.0	19.0	0.0
157	66	1	0	0.1625	66.0	66.0	1.0
158	11	0	1	0.0225	9.0	9.0	0.0
159	34	0	1	0.08	32.0	32.0	0.0
160	29	1	0	0.0725	29.0	29.0	1.0
161	10	0	1	0.02	8.0	8.0	0.0
162	10	0	1	0.02	8.0	8.0	0.0
163	25	0	1	0.0575	23.0	23.0	0.0
164	49	0	1	0.115	47.0	47.0	0.0
165	22	0	1	0.05	20.0	20.0	0.0
166	35	0	1	0.0825	33.0	33.0	0.0
167	30	1	0	0.07	30.0	30.0	1.0
168	29	0	1	0.0675	27.0	27.0	0.0
169	31	0	1	0.0725	29.0	29.0	0.0
170	17	0	1	0.0375	15.0	15.0	0.0
171	21	0	1	0.0475	19.0	19.0	0.0
172	87	1	0	0.195	87.0	87.0	1.0
173	22	0	1	0.05	20.0	20.0	0.0
174	33	0	1	0.0775	31.0	31.0	0.0
175	9	1	0	0.0225	9.0	9.0	1.0
176	24	0	1	0.055	22.0	22.0	0.0
177	18	1	0	0.045	18.0	18.0	1.0
178	10	0	1	0.02	8.0	8.0	0.0
179	18	0	1	0.04	16.0	16.0	0.0
180	24	0	1	0.055	22.0	22.0	0.0
181	14	0	1	0.03	12.0	12.0	0.0
182	30	0	1	0.07	28.0	28.0	0.0
183	24	0	1	0.055	22.0	22.0	0.0
184	23	0	1	0.0525	21.0	21.0	0.0
185	19	1	0	0.0475	19.0	19.0	1.0
186	25	1	0	0.0625	25.0	25.0	1.0
187	18	0	1	0.04	16.0	16.0	0.0
188	25	0	1	0.0575	23.0	23.0	0.0
189	17	1	0	0.0425	17.0	17.0	1.0
190	9	1	0	0.0225	9.0	9.0	1.0
191	8	1	0	0.02	8.0	8.0	1.0
192	24	1	0	0.06	24.0	24.0	1.0
193	44	1	0	0.11	44.0	44.0	1.0
194	71	1	0	0.1725	71.0	71.0	1.0
195	34	0	1	0.08	32.0	32.0	0.0
196	52	0	1	0.125	50.0	50.0	0.0
197	14	0	1	0.03	12.0	12.0	0.0
198	44	1	0	0.0875	44.0	44.0	1.0
199	32	0	1	0.075	30.0	30.0	0.0
200	12	0	1	0.025	10.0	10.0	0.0
201	55	1	0	0.1375	55.0	55.0	1.0
202	12	0	1	0.025	10.0	10.0	0.0
203	80	1	0	0.1625	80.0	80.0	1.0
204	26	0	1	0.06	24.0	24.0	0.0
205	20	0	1	0.045	18.0	18.0	0.0
206	38	1	0	0.095	38.0	38.0	1.0
207	11	0	1	0.0225	9.0	9.0	0.0
208	9	0	1	0.0175	7.0	7.0	0.0
209	20	1	0	0.05	20.0	20.0	1.0
210	22	0	1	0.05	20.0	20.0	0.0
211	14	0	1	0.03	12.0	12.0	0.0
212	15	0	1	0.0325	13.0	13.0	0.0
213	17	0	1	0.0375	15.0	15.0	0.0
214	4	1	0	0.01	4.0	4.0	1.0
215	9	0	1	0.0175	7.0	7.0	0.0
216	18	0	1	0.04	16.0	16.0	0.0
217	2	0	1	0.0	0.0	0.0	0.0
218	20	1	0	0.05	20.0	20.0	1.0
219	24	0	1	0.055	22.0	22.0	0.0
220	18	1	0	0.045	18.0	18.0	1.0
221	8	0	1	0.015	6.0	6.0	0.0
222	24	0	1	0.055	22.0	22.0	0.0
223	45	1	0	0.1125	45.0	45.0	1.0
224	33	1	0	0.0825	33.0	33.0	1.0
225	39	0	1	0.0925	37.0	37.0	0.0
226	16	0	1	0.035	14.0	14.0	0.0
227	8	1	0	0.02	8.0	8.0	1.0
228	18	0	1	0.04	16.0	16.0	0.0
229	19	0	1	0.0425	17.0	17.0	0.0
230	33	0	1	0.0775	31.0	31.0	0.0
231	34	0	1	0.08	32.0	32.0	0.0
232	31	0	1	0.0725	29.0	29.0	0.0
233	50	1	0	0.12	50.0	50.0	1.0
234	20	0	1	0.045	18.0	18.0	0.0
235	33	1	0	0.0825	33.0	33.0	1.0
236	36	0	1	0.085	34.0	34.0	0.0
237	34	1	0	0.085	34.0	34.0	1.0
238	17	0	1	0.0375	15.0	15.0	0.0
239	11	0	1	0.0225	9.0	9.0	0.0
240	21	0	1	0.0475	19.0	19.0	0.0
241	61	1	0	0.1525	61.0	61.0	1.0
242	66	1	0	0.1575	66.0	66.0	1.0
243	9	0	1	0.0175	7.0	7.0	0.0
244	21	0	1	0.0475	19.0	19.0	0.0
245	26	0	1	0.06	24.0	24.0	0.0
246	39	0	1	0.0925	37.0	37.0	0.0
247	15	0	1	0.0325	13.0	13.0	0.0
248	36	0	1	0.085	34.0	34.0	0.0
249	37	0	1	0.0875	35.0	35.0	0.0
250	22	0	1	0.05	20.0	20.0	0.0
251	40	0	1	0.095	38.0	38.0	0.0
252	11	0	1	0.0225	9.0	9.0	0.0
253	55	1	0	0.1375	55.0	55.0	1.0
254	34	0	1	0.075	32.0	32.0	0.0
255	64	1	0	0.1475	64.0	64.0	1.0
256	29	1	0	0.0725	29.0	29.0	1.0
257	60	0	1	0.145	58.0	58.0	0.0
258	13	0	1	0.0275	11.0	11.0	0.0
259	11	0	1	0.0225	9.0	9.0	0.0
260	33	0	1	0.0775	31.0	31.0	0.0
261	14	0	1	0.03	12.0	12.0	0.0
262	12	1	0	0.03	12.0	12.0	1.0
263	29	0	1	0.0675	27.0	27.0	0.0
264	31	0	1	0.0725	29.0	29.0	0.0
265	20	1	0	0.05	20.0	20.0	1.0
266	32	0	1	0.075	30.0	30.0	0.0
267	25	0	1	0.0575	23.0	23.0	0.0
268	9	0	1	0.0175	7.0	7.0	0.0
269	25	0	1	0.0575	23.0	23.0	0.0
270	18	0	1	0.04	16.0	16.0	0.0
271	35	1	0	0.0875	35.0	35.0	1.0
272	9	0	1	0.0175	7.0	7.0	0.0
273	10	0	1	0.02	8.0	8.0	0.0
274	23	0	1	0.0525	21.0	21.0	0.0
275	28	0	1	0.065	26.0	26.0	0.0
276	68	0	1	0.1625	66.0	66.0	0.0
277	32	0	1	0.075	30.0	30.0	0.0
278	71	1	0	0.15	71.0	71.0	1.0
279	7	1	0	0.0175	7.0	7.0	1.0
280	47	1	0	0.105	47.0	47.0	1.0
281	49	0	1	0.1175	47.0	47.0	0.0
282	3	0	1	0.0025	1.0	1.0	0.0
283	23	0	1	0.0525	21.0	21.0	0.0
284	25	0	1	0.0575	23.0	23.0	0.0
285	52	1	0	0.13	52.0	52.0	1.0
286	20	0	1	0.045	18.0	18.0	0.0
287	19	0	1	0.0425	17.0	17.0	0.0
288	32	0	1	0.075	30.0	30.0	0.0
289	43	1	0	0.1075	43.0	43.0	1.0
290	4	0	1	0.005	2.0	2.0	0.0
291	11	0	1	0.0225	9.0	9.0	0.0
292	14	0	1	0.03	12.0	12.0	0.0
293	18	0	1	0.04	16.0	16.0	0.0
294	15	0	1	0.0325	13.0	13.0	0.0
295	30	0	1	0.07	28.0	28.0	0.0
296	44	0	1	0.105	42.0	42.0	0.0
297	65	1	0	0.1575	65.0	65.0	1.0
298	15	0	1	0.0325	13.0	13.0	0.0
299	31	1	0	0.0775	31.0	31.0	1.0
300	27	0	1	0.0625	25.0	25.0	0.0
301	3	1	0	0.0075	3.0	3.0	1.0
302	75	0	1	0.18	73.0	73.0	0.0
303	26	0	1	0.06	24.0	24.0	0.0
304	21	1	0	0.0525	21.0	21.0	1.0
305	23	0	1	0.0525	21.0	21.0	0.0
306	39	0	1	0.0925	37.0	37.0	0.0
307	39	0	1	0.0925	37.0	37.0	0.0
