	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	77	1	0	0.19	77.0	77.0	1.0
1	1	2	18	0	1	0.04	16.0	16.0	0.0
2	2	3	19	0	1	0.0425	17.0	17.0	0.0
3	3	4	37	0	1	0.0875	35.0	35.0	0.0
4	4	5	12	0	1	0.025	10.0	10.0	0.0
5	5	6	16	0	1	0.035	14.0	14.0	0.0
6	6	7	11	0	1	0.0225	9.0	9.0	0.0
7	7	8	52	1	0	0.125	52.0	52.0	1.0
8	8	9	28	0	1	0.0625	26.0	26.0	0.5
9	9	10	39	0	1	0.0925	37.0	37.0	0.5
10	10	11	40	0	1	0.0925	38.0	38.0	0.5
11	11	12	82	1	0	0.1975	82.0	82.0	1.0
12	12	13	11	0	1	0.0225	9.0	9.0	0.0
13	13	14	102	1	0	0.235	102.0	102.0	1.0
14	14	15	30	0	1	0.07	28.0	28.0	0.25
15	15	16	25	0	1	0.0575	23.0	23.0	0.25
16	16	17	46	0	1	0.11	44.0	44.0	0.25
17	17	18	45	0	1	0.1075	43.0	43.0	0.5
18	18	19	47	0	1	0.1125	45.0	45.0	0.25
19	19	20	19	0	1	0.0425	17.0	17.0	0.0
20	20	21	43	0	1	0.1025	41.0	41.0	0.25
21	21	22	4	0	1	0.005	2.0	2.0	0.0
22	22	23	58	1	0	0.11	58.0	58.0	1.0
23	23	24	33	0	1	0.0775	31.0	31.0	0.5
24	24	25	28	0	1	0.065	26.0	26.0	0.5
25	25	26	22	0	1	0.05	20.0	20.0	0.0
26	26	27	48	0	1	0.1125	46.0	46.0	0.5
27	27	28	66	1	0	0.1625	66.0	66.0	1.0
28	28	29	50	0	1	0.12	48.0	48.0	0.5
29	29	30	84	1	0	0.19	84.0	84.0	1.0
30	30	31	38	0	1	0.09	36.0	36.0	0.0
31	31	32	37	0	1	0.0875	35.0	35.0	0.5
32	32	33	53	0	1	0.1275	51.0	51.0	0.25
33	33	34	54	0	1	0.1275	52.0	52.0	0.75
34	34	35	50	1	0	0.125	50.0	50.0	1.0
35	35	36	49	0	1	0.115	47.0	47.0	0.25
36	36	37	60	1	0	0.15	60.0	60.0	1.0
37	37	38	52	0	1	0.1225	50.0	50.0	0.25
38	38	39	53	0	1	0.1275	51.0	51.0	0.25
39	39	40	63	0	1	0.1475	61.0	61.0	0.5
40	40	41	53	1	0	0.1275	53.0	53.0	1.0
41	41	42	20	0	1	0.045	18.0	18.0	0.0
42	42	43	20	0	1	0.045	18.0	18.0	0.0
43	43	44	22	0	1	0.05	20.0	20.0	0.0
44	44	45	77	1	0	0.1925	77.0	77.0	1.0
45	45	46	23	0	1	0.0525	21.0	21.0	0.25
46	46	47	12	0	1	0.025	10.0	10.0	0.0
47	47	48	10	0	1	0.02	8.0	8.0	0.0
48	48	49	18	0	1	0.04	16.0	16.0	0.25
49	49	50	77	1	0	0.1875	77.0	77.0	1.0
