	Unnamed: 0	i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
0	0	1	41	0	3	0.145	14.2	71.0	0.0
1	1	2	49	1	1	0.1275	25.0	125.0	1.0
2	2	3	25	1	2	0.0625	11.4	57.0	1.0
3	3	4	46	0	3	0.165	19.2	96.0	0.5
4	4	5	27	1	2	0.0675	13.8	69.0	1.0
5	5	6	100	0	3	0.255	28.4	142.0	0.0
6	6	7	20	0	3	0.045	10.0	50.0	0.5
7	7	8	42	0	3	0.14	17.2	86.0	0.5
8	8	9	64	1	2	0.16	27.6	138.0	1.0
9	9	10	27	1	0	0.125	16.2	81.0	1.0
10	10	11	81	0	3	0.2325	25.0	125.0	0.5
11	11	12	26	1	2	0.0875	15.2	76.0	1.0
12	12	13	23	0	3	0.08	10.0	50.0	0.5
13	13	14	37	0	3	0.085	9.8	49.0	0.5
14	14	15	15	1	1	0.0475	8.0	40.0	1.0
15	15	16	8	0	3	0.015	3.6	18.0	0.0
16	16	17	73	1	2	0.21	26.0	130.0	1.0
17	17	18	37	0	3	0.1525	18.4	92.0	0.5
18	18	19	35	1	2	0.0875	16.2	81.0	1.0
19	19	20	32	1	0	0.155	19.2	96.0	1.0
20	20	21	33	1	2	0.165	18.2	91.0	1.0
21	21	22	15	0	3	0.0325	7.8	39.0	0.0
22	22	23	41	0	3	0.14	16.2	81.0	0.0
23	23	24	13	0	3	0.0275	6.6	33.0	0.0
24	24	25	77	1	2	0.22	30.4	152.0	1.0
25	25	26	57	0	3	0.15	23.4	117.0	0.5
26	26	27	24	1	1	0.0975	12.6	63.0	1.0
27	27	28	25	1	1	0.115	14.2	71.0	1.0
28	28	29	41	1	1	0.145	22.8	114.0	1.0
29	29	30	30	1	2	0.075	14.8	74.0	1.0
30	30	31	50	1	2	0.125	12.0	60.0	1.0
31	31	32	32	0	3	0.09	9.6	48.0	0.0
32	32	33	33	1	0	0.1875	19.8	99.0	1.0
33	33	34	21	1	0	0.1	12.6	63.0	1.0
34	34	35	22	1	2	0.0775	8.8	44.0	1.0
35	35	36	50	1	1	0.21	26.8	134.0	1.0
36	36	37	40	1	1	0.15	18.8	94.0	1.0
37	37	38	68	1	1	0.195	32.6	163.0	1.0
38	38	39	38	1	2	0.1075	12.8	64.0	1.0
39	39	40	64	0	3	0.1925	18.0	90.0	0.5
40	40	41	56	1	1	0.1925	27.8	139.0	1.0
41	41	42	39	0	3	0.175	16.6	83.0	0.5
42	42	43	40	0	3	0.1575	17.4	87.0	0.5
43	43	44	33	0	3	0.0775	15.0	75.0	0.0
44	44	45	60	1	1	0.1575	34.8	174.0	1.0
45	45	46	65	0	3	0.1575	23.8	119.0	0.5
46	46	47	26	0	3	0.095	12.0	60.0	0.5
47	47	48	27	1	1	0.1325	16.0	80.0	1.0
48	48	49	57	1	2	0.1675	24.2	121.0	1.0
49	49	50	27	1	2	0.14	13.0	65.0	1.0
50	50	51	34	0	3	0.115	17.4	87.0	0.0
51	51	52	26	0	3	0.09	13.6	68.0	0.0
52	52	53	65	1	2	0.16	24.6	123.0	1.0
53	53	54	42	1	1	0.1575	21.0	105.0	1.0
54	54	55	36	0	3	0.1225	18.4	92.0	0.5
55	55	56	39	1	1	0.1875	20.4	102.0	1.0
56	56	57	29	1	1	0.115	11.6	58.0	1.0
57	57	58	28	1	1	0.1125	15.2	76.0	1.0
58	58	59	23	0	3	0.0775	9.6	48.0	0.0
59	59	60	34	0	3	0.08	14.0	70.0	0.5
60	60	61	45	1	1	0.2125	23.6	118.0	1.0
61	61	62	32	1	1	0.135	14.2	71.0	1.0
62	62	63	13	1	1	0.0375	7.6	38.0	1.0
63	63	64	49	0	3	0.1025	16.6	83.0	0.0
64	64	65	38	1	0	0.165	22.8	114.0	1.0
65	65	66	35	1	2	0.15	20.0	100.0	1.0
66	66	67	32	1	1	0.1375	17.4	87.0	1.0
67	67	68	50	1	2	0.095	15.2	76.0	1.0
68	68	69	27	1	2	0.0675	15.8	79.0	1.0
69	69	70	73	1	2	0.185	17.6	88.0	1.0
70	70	71	43	0	3	0.1725	18.2	91.0	0.5
71	71	72	71	0	3	0.185	19.8	99.0	0.5
72	72	73	28	1	0	0.135	16.8	84.0	1.0
73	73	74	26	1	2	0.105	12.6	63.0	1.0
74	74	75	46	1	2	0.1475	21.2	106.0	1.0
75	75	76	22	1	0	0.1125	13.2	66.0	1.0
76	76	77	48	1	2	0.1575	21.2	106.0	1.0
77	77	78	46	1	0	0.1825	27.6	138.0	1.0
78	78	79	107	1	2	0.245	35.0	175.0	1.0
79	79	80	45	0	3	0.1325	12.0	60.0	0.0
80	80	81	80	1	1	0.24	33.4	167.0	1.0
81	81	82	7	0	3	0.0125	3.0	15.0	0.0
82	82	83	61	0	3	0.185	23.4	117.0	0.0
83	83	84	38	0	3	0.1175	16.2	81.0	0.5
84	84	85	47	1	2	0.1275	15.4	77.0	1.0
