traverse_p_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,48,1,2,0.12,16.4,82.0,1.0,1
2,75,1,2,0.2025,29.8,149.0,1.0,1
3,73,1,2,0.1975,30.6,153.0,1.0,1
4,43,1,1,0.095,20.2,101.0,1.0,1
5,76,0,3,0.1825,20.0,100.0,0.6666666666666666,0
6,24,1,2,0.0575,10.0,50.0,1.0,1
7,47,1,2,0.1625,27.0,135.0,1.0,1
8,34,0,3,0.08,14.0,70.0,0.3333333333333333,0
9,81,1,2,0.1825,37.4,187.0,1.0,1
10,56,1,2,0.22,28.8,144.0,1.0,1
11,31,0,3,0.0725,9.4,47.0,0.6666666666666666,0
12,28,1,0,0.1475,16.8,84.0,1.0,1
13,33,1,0,0.195,19.8,99.0,1.0,1
14,52,1,0,0.275,31.2,156.0,1.0,1
15,35,0,3,0.11,14.2,71.0,0.6666666666666666,0
16,66,0,3,0.18,32.2,161.0,0.6666666666666666,0
17,5,0,3,0.0075,1.8,9.0,0.0,0
18,13,0,3,0.0275,6.6,33.0,0.0,0
19,76,1,2,0.16,25.6,128.0,1.0,1
20,36,1,1,0.15,18.8,94.0,1.0,1
21,58,1,2,0.18,27.6,138.0,1.0,1
22,67,1,1,0.22,30.6,153.0,1.0,1
23,28,1,0,0.1675,16.8,84.0,1.0,1
24,32,0,3,0.13,16.8,84.0,0.3333333333333333,0
25,40,0,3,0.17,18.0,90.0,0.6666666666666666,0
26,65,1,2,0.1825,26.0,130.0,1.0,1
27,48,1,0,0.2075,28.8,144.0,1.0,1
28,84,0,3,0.205,37.4,187.0,0.6666666666666666,0
29,32,0,3,0.075,18.0,90.0,0.0,0
30,89,0,3,0.205,21.4,107.0,0.6666666666666666,0
31,40,0,3,0.13,17.2,86.0,0.3333333333333333,0
32,32,1,1,0.11,16.6,83.0,1.0,1
33,96,1,2,0.26,32.8,164.0,1.0,1
34,34,0,3,0.1525,18.0,90.0,0.3333333333333333,0
35,59,0,3,0.1425,16.6,83.0,0.6666666666666666,0
36,60,1,0,0.15,36.0,180.0,1.0,1
37,44,1,2,0.1225,11.6,58.0,1.0,1
38,43,1,1,0.165,20.6,103.0,1.0,1
39,66,1,2,0.25,28.6,143.0,1.0,1
40,21,0,3,0.0725,8.6,43.0,0.0,0
41,67,1,1,0.16,33.0,165.0,1.0,1
42,46,0,3,0.165,20.8,104.0,0.6666666666666666,0
43,30,0,3,0.07,16.8,84.0,0.0,0
44,36,1,1,0.1675,16.6,83.0,1.0,1
45,37,0,3,0.1175,12.2,61.0,0.3333333333333333,0
46,41,1,2,0.14,17.0,85.0,1.0,1
47,20,1,0,0.0925,12.0,60.0,1.0,1
48,63,0,3,0.1525,31.0,155.0,0.6666666666666666,0
49,52,0,3,0.1975,23.8,119.0,0.6666666666666666,0
50,38,0,3,0.08,21.6,108.0,0.6666666666666666,0
51,17,0,3,0.0375,9.0,45.0,0.0,0
52,48,0,3,0.0925,16.0,80.0,0.6666666666666666,0
53,64,1,2,0.1875,20.4,102.0,1.0,1
54,44,0,3,0.105,17.2,86.0,0.3333333333333333,0
55,57,0,3,0.1725,18.2,91.0,0.6666666666666666,0
56,68,0,3,0.1625,21.8,109.0,0.6666666666666666,0
57,27,0,3,0.09,12.6,63.0,0.0,0
58,43,1,2,0.14,15.2,76.0,1.0,1
59,67,0,3,0.205,20.0,100.0,0.6666666666666666,0
60,21,0,3,0.075,11.2,56.0,0.3333333333333333,0
61,54,0,3,0.1325,22.0,110.0,0.3333333333333333,0
62,37,1,1,0.165,20.2,101.0,1.0,1
63,36,1,2,0.135,13.0,65.0,1.0,1
64,29,0,3,0.0725,9.8,49.0,0.0,0
65,55,1,2,0.21,30.2,151.0,1.0,1
66,59,0,3,0.175,29.4,147.0,0.6666666666666666,0
67,45,0,3,0.1075,16.6,83.0,0.6666666666666666,0
68,54,1,1,0.2375,31.8,159.0,1.0,1
69,41,0,3,0.1175,18.4,92.0,0.6666666666666666,0
70,66,1,0,0.2725,39.6,198.0,1.0,1
71,55,0,3,0.2075,26.8,134.0,0.6666666666666666,0
72,6,0,3,0.01,2.4,12.0,0.0,0
73,37,0,3,0.0875,21.0,105.0,0.0,0
74,40,0,3,0.1575,20.6,103.0,0.3333333333333333,0
75,36,1,0,0.235,21.6,108.0,1.0,1
76,43,1,2,0.1725,22.6,113.0,1.0,1
77,44,1,1,0.1475,25.6,128.0,1.0,1
78,57,0,3,0.245,32.2,161.0,0.3333333333333333,0
79,63,1,1,0.275,31.2,156.0,1.0,1
80,44,1,1,0.1475,20.0,100.0,1.0,1
81,26,1,0,0.0775,15.6,78.0,1.0,1
82,83,1,1,0.255,37.0,185.0,1.0,1
83,44,1,0,0.1525,26.4,132.0,1.0,1
84,31,0,3,0.0775,13.4,67.0,0.3333333333333333,0
85,49,1,1,0.19,26.8,134.0,1.0,1
86,13,0,3,0.0275,6.6,33.0,0.0,0
87,68,1,1,0.1975,37.6,188.0,1.0,1
88,42,0,3,0.12,22.6,113.0,0.6666666666666666,0
89,54,1,2,0.17,23.2,116.0,1.0,1
90,47,1,1,0.2075,27.8,139.0,1.0,1
91,28,0,3,0.065,13.2,66.0,0.3333333333333333,0
92,31,0,3,0.1,17.4,87.0,0.3333333333333333,0
93,68,1,2,0.2075,21.2,106.0,1.0,1
94,89,1,2,0.25,27.0,135.0,1.0,1
95,57,0,3,0.1375,20.6,103.0,0.3333333333333333,0
96,76,1,2,0.215,21.2,106.0,1.0,1
97,58,1,2,0.1425,21.6,108.0,1.0,1
98,54,0,3,0.18,26.4,132.0,0.6666666666666666,0
99,56,0,3,0.1975,22.0,110.0,0.3333333333333333,0
100,50,1,2,0.155,21.8,109.0,1.0,1
101,57,0,3,0.1875,24.2,121.0,0.6666666666666666,0
102,48,0,3,0.1225,23.2,116.0,0.6666666666666666,0
103,65,0,3,0.1425,30.8,154.0,0.3333333333333333,0
104,25,0,3,0.1,13.0,65.0,0.3333333333333333,0
105,8,0,3,0.015,3.6,18.0,0.0,0
106,20,0,3,0.045,10.8,54.0,0.0,0
107,20,1,1,0.0825,11.8,59.0,1.0,1
108,62,0,3,0.2075,22.8,114.0,0.6666666666666666,0
109,35,0,3,0.0825,16.2,81.0,0.3333333333333333,0
110,53,1,1,0.18,31.2,156.0,1.0,1
111,59,0,3,0.2025,19.0,95.0,0.6666666666666666,0
112,15,0,3,0.0325,7.8,39.0,0.0,0
113,22,0,3,0.0775,12.0,60.0,0.0,0
114,61,0,3,0.1575,22.6,113.0,0.6666666666666666,0
115,71,1,2,0.19,37.8,189.0,1.0,1
116,36,1,2,0.09,14.2,71.0,1.0,1
117,61,1,2,0.175,34.2,171.0,1.0,1
118,35,0,3,0.135,16.2,81.0,0.3333333333333333,0
119,53,0,3,0.1275,16.8,84.0,0.6666666666666666,0
120,46,1,2,0.165,24.0,120.0,1.0,1
121,26,0,3,0.0975,13.8,69.0,0.0,0
122,50,1,2,0.2025,18.8,94.0,1.0,1
123,38,1,2,0.13,13.6,68.0,1.0,1
124,22,0,3,0.05,7.6,38.0,0.0,0
125,99,0,3,0.26,31.6,158.0,0.6666666666666666,0
126,52,0,3,0.165,19.0,95.0,0.6666666666666666,0
127,72,1,1,0.175,35.2,176.0,1.0,1
128,26,0,3,0.1075,14.4,72.0,0.0,0
129,40,0,3,0.095,15.6,78.0,0.0,0
130,50,0,3,0.1475,23.0,115.0,0.6666666666666666,0
131,22,1,1,0.07,9.6,48.0,1.0,1
132,7,0,3,0.0125,3.0,15.0,0.0,0
133,31,1,1,0.1175,15.4,77.0,1.0,1
134,22,0,3,0.055,11.6,58.0,0.3333333333333333,0
135,40,0,3,0.14,21.6,108.0,0.6666666666666666,0
136,66,1,1,0.2275,31.8,159.0,1.0,1
137,48,1,2,0.12,23.0,115.0,1.0,1
138,26,0,3,0.06,14.4,72.0,0.0,0
139,23,0,3,0.0525,12.6,63.0,0.0,0
140,37,1,1,0.1325,17.6,88.0,1.0,1
141,70,0,3,0.1775,20.4,102.0,0.6666666666666666,0
142,68,0,3,0.2025,28.4,142.0,0.6666666666666666,0
143,29,1,2,0.105,15.2,76.0,1.0,1
144,45,0,3,0.1075,19.4,97.0,0.3333333333333333,0
145,26,0,3,0.05,9.4,47.0,0.6666666666666666,0
146,24,0,3,0.0725,9.0,45.0,0.3333333333333333,0
147,27,0,3,0.1125,12.4,62.0,0.6666666666666666,0
148,75,1,1,0.225,37.4,187.0,1.0,1
149,47,0,3,0.145,16.2,81.0,0.3333333333333333,0
150,43,1,1,0.1725,24.0,120.0,1.0,1
151,23,0,3,0.0525,12.6,63.0,0.0,0
152,60,0,3,0.145,26.0,130.0,0.6666666666666666,0
153,30,0,3,0.1025,11.4,57.0,0.3333333333333333,0
154,9,0,3,0.0175,4.2,21.0,0.0,0
155,66,1,2,0.17,25.6,128.0,1.0,1
156,66,0,3,0.175,25.6,128.0,0.3333333333333333,0
157,60,1,1,0.2175,28.8,144.0,1.0,1
158,22,0,3,0.05,10.8,54.0,0.3333333333333333,0
159,41,1,2,0.1275,19.2,96.0,1.0,1
160,79,1,2,0.205,29.0,145.0,1.0,1
161,49,1,2,0.1975,24.0,120.0,1.0,1
162,46,0,3,0.1375,16.4,82.0,0.3333333333333333,0
163,86,1,2,0.2225,26.6,133.0,1.0,1
164,29,0,3,0.125,14.4,72.0,0.3333333333333333,0
165,72,1,1,0.215,33.6,168.0,1.0,1
166,69,1,2,0.2025,28.2,141.0,1.0,1
167,41,1,1,0.18,19.8,99.0,1.0,1
168,42,0,3,0.135,14.2,71.0,0.6666666666666666,0
169,48,1,2,0.12,19.6,98.0,1.0,1
170,47,1,2,0.115,19.8,99.0,1.0,1
171,43,1,2,0.205,20.4,102.0,1.0,1
172,26,1,0,0.1375,15.6,78.0,1.0,1
173,58,1,2,0.15,20.4,102.0,1.0,1
174,55,1,2,0.135,17.0,85.0,1.0,1
175,51,1,1,0.225,21.4,107.0,1.0,1
176,54,0,3,0.12,24.2,121.0,0.3333333333333333,0
177,63,1,2,0.155,26.2,131.0,1.0,1
178,59,1,2,0.2025,31.0,155.0,1.0,1
179,39,0,3,0.0925,15.0,75.0,0.3333333333333333,0
180,33,0,3,0.1175,17.4,87.0,0.0,0
181,31,0,3,0.0725,13.0,65.0,0.3333333333333333,0
182,62,0,3,0.2,23.4,117.0,0.3333333333333333,0
183,68,1,2,0.155,34.6,173.0,1.0,1
184,75,1,1,0.27,38.6,193.0,1.0,1
185,61,1,2,0.19,21.8,109.0,1.0,1
186,68,0,3,0.1725,16.4,82.0,0.3333333333333333,0
187,51,1,2,0.125,26.2,131.0,1.0,1
188,41,0,3,0.1,15.4,77.0,0.0,0
189,47,0,3,0.1625,24.6,123.0,0.6666666666666666,0
190,30,0,3,0.07,12.4,62.0,0.3333333333333333,0
191,60,1,2,0.2275,24.4,122.0,1.0,1
192,37,0,3,0.0875,19.0,95.0,0.3333333333333333,0
193,72,1,1,0.25,32.2,161.0,1.0,1
194,81,0,3,0.1875,30.6,153.0,0.6666666666666666,0
195,30,0,3,0.1225,12.4,62.0,0.3333333333333333,0
196,37,1,2,0.1075,16.2,81.0,1.0,1
197,47,1,1,0.15,27.4,137.0,1.0,1
198,55,0,3,0.18,20.6,103.0,0.6666666666666666,0
199,58,0,3,0.17,21.6,108.0,0.6666666666666666,0
200,62,0,3,0.17,23.2,116.0,0.6666666666666666,0
201,55,1,0,0.225,33.0,165.0,1.0,1
202,54,1,1,0.2,25.8,129.0,1.0,1
203,51,0,3,0.18,21.4,107.0,0.3333333333333333,0
204,83,0,3,0.2225,31.0,155.0,0.6666666666666666,0
205,99,1,2,0.3225,43.4,217.0,1.0,1
206,76,1,2,0.255,30.4,152.0,1.0,1
207,46,0,3,0.175,19.2,96.0,0.3333333333333333,0
208,76,0,3,0.1925,38.8,194.0,0.6666666666666666,0
209,53,1,2,0.1125,19.4,97.0,1.0,1
210,65,0,3,0.2175,23.2,116.0,0.3333333333333333,0
211,70,1,2,0.17,21.8,109.0,1.0,1
212,28,1,0,0.1225,16.8,84.0,1.0,1
213,59,0,3,0.14,21.0,105.0,0.3333333333333333,0
214,74,1,2,0.185,26.0,130.0,1.0,1
215,40,1,1,0.1525,19.0,95.0,1.0,1
216,61,1,2,0.2475,33.6,168.0,1.0,1
217,93,0,3,0.235,32.2,161.0,0.6666666666666666,0
218,21,0,3,0.055,10.2,51.0,0.0,0
219,75,1,2,0.215,21.8,109.0,1.0,1
220,77,0,3,0.18,19.8,99.0,0.6666666666666666,0
221,29,0,3,0.0675,16.2,81.0,0.0,0
222,38,1,1,0.125,19.0,95.0,1.0,1
