1. Steps: 4, Found: True, Taken down:0 
2. Steps: 7, Found: True, Taken down:0 
3. Steps: 12, Found: False, Taken down:2 
4. Steps: 16, Found: True, Taken down:1 
5. Steps: 19, Found: True, Taken down:0 
6. Steps: 17, Found: True, Taken down:1 
7. Steps: 7, Found: True, Taken down:0 
8. Steps: 11, Found: True, Taken down:1 
9. Steps: 12, Found: True, Taken down:0 
10. Steps: 17, Found: True, Taken down:1 
11. Steps: 19, Found: True, Taken down:1 
12. Steps: 12, Found: True, Taken down:0 
13. Steps: 6, Found: True, Taken down:0 
14. Steps: 7, Found: True, Taken down:0 
15. Steps: 8, Found: True, Taken down:1 
16. Steps: 13, Found: True, Taken down:0 
17. Steps: 4, Found: True, Taken down:0 
18. Steps: 16, Found: True, Taken down:0 
19. Steps: 16, Found: False, Taken down:2 
20. Steps: 9, Found: True, Taken down:1 
21. Steps: 3, Found: True, Taken down:1 
22. Steps: 15, Found: True, Taken down:0 
23. Steps: 9, Found: True, Taken down:1 
24. Steps: 4, Found: True, Taken down:0 
25. Steps: 14, Found: True, Taken down:1 
26. Steps: 3, Found: True, Taken down:0 
27. Steps: 15, Found: True, Taken down:1 
28. Steps: 13, Found: True, Taken down:0 
29. Steps: 6, Found: True, Taken down:0 
30. Steps: 11, Found: True, Taken down:0 
31. Steps: 16, Found: True, Taken down:0 
32. Steps: 18, Found: True, Taken down:1 
33. Steps: 15, Found: True, Taken down:1 
34. Steps: 13, Found: True, Taken down:0 
35. Steps: 1, Found: True, Taken down:0 
36. Steps: 8, Found: True, Taken down:1 
37. Steps: 9, Found: True, Taken down:0 
38. Steps: 14, Found: True, Taken down:1 
39. Steps: 21, Found: True, Taken down:0 
40. Steps: 14, Found: False, Taken down:2 
41. Steps: 17, Found: True, Taken down:0 
42. Steps: 26, Found: True, Taken down:0 
43. Steps: 15, Found: False, Taken down:2 
44. Steps: 8, Found: True, Taken down:1 
45. Steps: 7, Found: True, Taken down:0 
46. Steps: 10, Found: True, Taken down:0 
47. Steps: 18, Found: True, Taken down:0 
48. Steps: 3, Found: True, Taken down:0 
49. Steps: 10, Found: True, Taken down:1 
50. Steps: 4, Found: True, Taken down:0 
51. Steps: 7, Found: True, Taken down:0 
52. Steps: 18, Found: False, Taken down:2 
53. Steps: 10, Found: True, Taken down:0 
54. Steps: 3, Found: True, Taken down:1 
55. Steps: 5, Found: True, Taken down:0 
56. Steps: 7, Found: True, Taken down:0 
57. Steps: 18, Found: True, Taken down:1 
58. Steps: 16, Found: True, Taken down:0 
59. Steps: 10, Found: True, Taken down:1 
60. Steps: 16, Found: True, Taken down:0 
61. Steps: 11, Found: True, Taken down:0 
62. Steps: 13, Found: True, Taken down:0 
63. Steps: 21, Found: True, Taken down:0 
64. Steps: 11, Found: True, Taken down:0 
65. Steps: 7, Found: True, Taken down:0 
66. Steps: 22, Found: True, Taken down:1 
67. Steps: 17, Found: True, Taken down:0 
68. Steps: 21, Found: True, Taken down:1 
69. Steps: 12, Found: True, Taken down:0 
70. Steps: 15, Found: True, Taken down:0 
71. Steps: 9, Found: True, Taken down:1 
72. Steps: 1, Found: True, Taken down:0 
73. Steps: 18, Found: True, Taken down:0 
74. Steps: 18, Found: True, Taken down:0 
75. Steps: 12, Found: True, Taken down:1 
76. Steps: 10, Found: True, Taken down:0 
77. Steps: 17, Found: True, Taken down:0 
78. Steps: 15, Found: True, Taken down:1 
79. Steps: 5, Found: True, Taken down:0 
80. Steps: 17, Found: True, Taken down:0 
81. Steps: 8, Found: True, Taken down:0 
82. Steps: 21, Found: True, Taken down:1 
83. Steps: 10, Found: True, Taken down:0 
84. Steps: 12, Found: True, Taken down:1 
85. Steps: 16, Found: True, Taken down:0 
86. Steps: 9, Found: True, Taken down:1 
87. Steps: 3, Found: True, Taken down:0 
88. Steps: 22, Found: True, Taken down:0 
89. Steps: 13, Found: True, Taken down:1 
90. Steps: 5, Found: True, Taken down:0 
91. Steps: 13, Found: True, Taken down:0 
92. Steps: 4, Found: True, Taken down:0 
93. Steps: 18, Found: True, Taken down:1 
94. Steps: 8, Found: True, Taken down:0 
95. Steps: 17, Found: True, Taken down:0 
96. Steps: 19, Found: True, Taken down:1 
97. Steps: 23, Found: True, Taken down:1 
98. Steps: 16, Found: True, Taken down:0 
99. Steps: 18, Found: True, Taken down:0 
100. Steps: 14, Found: True, Taken down:0 
101. Steps: 9, Found: True, Taken down:0 
102. Steps: 2, Found: True, Taken down:0 
103. Steps: 9, Found: False, Taken down:2 
104. Steps: 13, Found: True, Taken down:0 
105. Steps: 11, Found: True, Taken down:1 
106. Steps: 16, Found: True, Taken down:0 
107. Steps: 19, Found: True, Taken down:0 
108. Steps: 5, Found: True, Taken down:1 
109. Steps: 14, Found: True, Taken down:0 
110. Steps: 11, Found: True, Taken down:1 
111. Steps: 14, Found: True, Taken down:1 
112. Steps: 4, Found: True, Taken down:0 
113. Steps: 12, Found: True, Taken down:1 
114. Steps: 6, Found: True, Taken down:0 
115. Steps: 7, Found: True, Taken down:0 
116. Steps: 3, Found: True, Taken down:1 
117. Steps: 5, Found: True, Taken down:0 
118. Steps: 4, Found: True, Taken down:0 
119. Steps: 14, Found: True, Taken down:0 
120. Steps: 3, Found: True, Taken down:1 
121. Steps: 8, Found: True, Taken down:0 
122. Steps: 5, Found: True, Taken down:0 
123. Steps: 9, Found: True, Taken down:0 
124. Steps: 6, Found: True, Taken down:0 
125. Steps: 4, Found: True, Taken down:1 
126. Steps: 8, Found: True, Taken down:0 
127. Steps: 11, Found: True, Taken down:0 
128. Steps: 14, Found: True, Taken down:1 
129. Steps: 13, Found: True, Taken down:0 
130. Steps: 6, Found: False, Taken down:2 
131. Steps: 7, Found: True, Taken down:1 
132. Steps: 14, Found: True, Taken down:0 
133. Steps: 7, Found: True, Taken down:1 
134. Steps: 0, Found: True, Taken down:1 
135. Steps: 9, Found: True, Taken down:0 
136. Steps: 10, Found: True, Taken down:0 
137. Steps: 13, Found: True, Taken down:0 
138. Steps: 13, Found: True, Taken down:1 
139. Steps: 17, Found: True, Taken down:0 
140. Steps: 7, Found: True, Taken down:0 
141. Steps: 3, Found: True, Taken down:1 
142. Steps: 19, Found: False, Taken down:2 
143. Steps: 12, Found: True, Taken down:0 
144. Steps: 8, Found: True, Taken down:0 
145. Steps: 9, Found: True, Taken down:0 
146. Steps: 15, Found: True, Taken down:1 
147. Steps: 8, Found: True, Taken down:0 
148. Steps: 7, Found: True, Taken down:0 
149. Steps: 22, Found: True, Taken down:0 
150. Steps: 19, Found: True, Taken down:1 
151. Steps: 11, Found: True, Taken down:0 
152. Steps: 6, Found: True, Taken down:0 
153. Steps: 6, Found: True, Taken down:0 
154. Steps: 9, Found: True, Taken down:0 
155. Steps: 6, Found: True, Taken down:0 
156. Steps: 7, Found: True, Taken down:0 
157. Steps: 10, Found: True, Taken down:0 
158. Steps: 17, Found: True, Taken down:1 
159. Steps: 10, Found: True, Taken down:1 
160. Steps: 14, Found: True, Taken down:0 
161. Steps: 21, Found: True, Taken down:0 
162. Steps: 16, Found: True, Taken down:0 
163. Steps: 8, Found: False, Taken down:2 
164. Steps: 20, Found: True, Taken down:1 
165. Steps: 25, Found: True, Taken down:1 
166. Steps: 10, Found: True, Taken down:1 
167. Steps: 12, Found: True, Taken down:1 
168. Steps: 16, Found: True, Taken down:0 
169. Steps: 1, Found: True, Taken down:1 
170. Steps: 11, Found: True, Taken down:0 
171. Steps: 2, Found: True, Taken down:0 
172. Steps: 9, Found: True, Taken down:0 
173. Steps: 9, Found: True, Taken down:1 
174. Steps: 3, Found: True, Taken down:0 
175. Steps: 14, Found: True, Taken down:1 
176. Steps: 6, Found: True, Taken down:1 
177. Steps: 12, Found: True, Taken down:1 
178. Steps: 10, Found: True, Taken down:1 
179. Steps: 3, Found: True, Taken down:0 
180. Steps: 12, Found: True, Taken down:0 
181. Steps: 7, Found: True, Taken down:1 
182. Steps: 21, Found: True, Taken down:0 
