1. Steps: 52, Found: True, Taken down:2 
2. Steps: 7, Found: True, Taken down:3 
3. Steps: 56, Found: True, Taken down:4 
4. Steps: 31, Found: True, Taken down:2 
5. Steps: 5, Found: True, Taken down:1 
6. Steps: 52, Found: True, Taken down:4 
7. Steps: 9, Found: True, Taken down:2 
8. Steps: 54, Found: False, Taken down:5 
9. Steps: 22, Found: False, Taken down:5 
10. Steps: 24, Found: True, Taken down:2 
11. Steps: 16, Found: True, Taken down:3 
12. Steps: 59, Found: False, Taken down:5 
13. Steps: 24, Found: True, Taken down:3 
14. Steps: 58, Found: True, Taken down:4 
15. Steps: 40, Found: False, Taken down:5 
16. Steps: 10, Found: True, Taken down:2 
17. Steps: 31, Found: True, Taken down:4 
18. Steps: 22, Found: True, Taken down:3 
19. Steps: 22, Found: False, Taken down:5 
20. Steps: 31, Found: True, Taken down:3 
21. Steps: 8, Found: True, Taken down:1 
22. Steps: 4, Found: True, Taken down:2 
23. Steps: 6, Found: True, Taken down:0 
24. Steps: 7, Found: True, Taken down:3 
25. Steps: 42, Found: False, Taken down:5 
26. Steps: 12, Found: True, Taken down:2 
27. Steps: 23, Found: True, Taken down:3 
28. Steps: 53, Found: False, Taken down:5 
29. Steps: 10, Found: True, Taken down:2 
30. Steps: 35, Found: True, Taken down:3 
31. Steps: 10, Found: True, Taken down:2 
32. Steps: 46, Found: False, Taken down:5 
33. Steps: 12, Found: True, Taken down:1 
34. Steps: 23, Found: True, Taken down:4 
35. Steps: 18, Found: True, Taken down:4 
36. Steps: 42, Found: True, Taken down:3 
37. Steps: 23, Found: True, Taken down:3 
38. Steps: 32, Found: True, Taken down:3 
39. Steps: 13, Found: True, Taken down:3 
40. Steps: 18, Found: True, Taken down:3 
41. Steps: 28, Found: True, Taken down:4 
42. Steps: 28, Found: False, Taken down:5 
43. Steps: 43, Found: True, Taken down:4 
44. Steps: 25, Found: True, Taken down:2 
45. Steps: 42, Found: False, Taken down:5 
46. Steps: 53, Found: True, Taken down:4 
47. Steps: 6, Found: True, Taken down:3 
48. Steps: 11, Found: True, Taken down:0 
49. Steps: 32, Found: False, Taken down:5 
50. Steps: 51, Found: False, Taken down:5 
51. Steps: 22, Found: True, Taken down:2 
52. Steps: 24, Found: True, Taken down:4 
53. Steps: 0, Found: True, Taken down:1 
54. Steps: 36, Found: True, Taken down:4 
55. Steps: 27, Found: True, Taken down:3 
56. Steps: 27, Found: True, Taken down:4 
57. Steps: 39, Found: True, Taken down:3 
58. Steps: 16, Found: True, Taken down:2 
59. Steps: 32, Found: True, Taken down:3 
60. Steps: 43, Found: True, Taken down:3 
61. Steps: 16, Found: True, Taken down:2 
62. Steps: 20, Found: False, Taken down:5 
63. Steps: 7, Found: True, Taken down:3 
64. Steps: 24, Found: False, Taken down:5 
65. Steps: 15, Found: True, Taken down:4 
66. Steps: 30, Found: True, Taken down:3 
67. Steps: 26, Found: True, Taken down:3 
68. Steps: 26, Found: True, Taken down:3 
69. Steps: 32, Found: False, Taken down:5 
70. Steps: 7, Found: True, Taken down:2 
71. Steps: 15, Found: True, Taken down:3 
72. Steps: 16, Found: True, Taken down:3 
73. Steps: 14, Found: True, Taken down:2 
74. Steps: 11, Found: True, Taken down:0 
75. Steps: 27, Found: True, Taken down:2 
76. Steps: 6, Found: True, Taken down:1 
77. Steps: 34, Found: True, Taken down:3 
78. Steps: 59, Found: True, Taken down:4 
79. Steps: 19, Found: True, Taken down:0 
80. Steps: 34, Found: False, Taken down:5 
81. Steps: 21, Found: True, Taken down:1 
82. Steps: 45, Found: True, Taken down:4 
83. Steps: 11, Found: True, Taken down:1 
84. Steps: 16, Found: False, Taken down:5 
85. Steps: 21, Found: True, Taken down:1 
86. Steps: 20, Found: True, Taken down:3 
87. Steps: 53, Found: True, Taken down:3 
88. Steps: 31, Found: True, Taken down:3 
89. Steps: 10, Found: True, Taken down:2 
90. Steps: 30, Found: True, Taken down:3 
91. Steps: 35, Found: True, Taken down:2 
92. Steps: 37, Found: True, Taken down:4 
93. Steps: 36, Found: True, Taken down:1 
94. Steps: 35, Found: True, Taken down:3 
95. Steps: 28, Found: True, Taken down:3 
96. Steps: 14, Found: True, Taken down:0 
97. Steps: 22, Found: True, Taken down:4 
98. Steps: 5, Found: True, Taken down:3 
99. Steps: 25, Found: True, Taken down:3 
100. Steps: 33, Found: True, Taken down:4 
101. Steps: 26, Found: False, Taken down:5 
102. Steps: 36, Found: False, Taken down:5 
103. Steps: 17, Found: True, Taken down:2 
104. Steps: 29, Found: False, Taken down:5 
105. Steps: 34, Found: True, Taken down:3 
106. Steps: 21, Found: True, Taken down:4 
107. Steps: 39, Found: True, Taken down:2 
108. Steps: 2, Found: True, Taken down:1 
109. Steps: 28, Found: True, Taken down:4 
110. Steps: 39, Found: True, Taken down:3 
111. Steps: 19, Found: True, Taken down:1 
112. Steps: 33, Found: False, Taken down:5 
113. Steps: 43, Found: True, Taken down:4 
114. Steps: 30, Found: True, Taken down:4 
115. Steps: 38, Found: True, Taken down:4 
116. Steps: 27, Found: False, Taken down:5 
117. Steps: 48, Found: True, Taken down:3 
118. Steps: 10, Found: True, Taken down:1 
119. Steps: 39, Found: True, Taken down:4 
120. Steps: 27, Found: False, Taken down:5 
121. Steps: 14, Found: True, Taken down:1 
122. Steps: 34, Found: False, Taken down:5 
123. Steps: 38, Found: True, Taken down:4 
124. Steps: 22, Found: False, Taken down:5 
125. Steps: 38, Found: False, Taken down:5 
126. Steps: 18, Found: True, Taken down:4 
127. Steps: 41, Found: True, Taken down:3 
128. Steps: 24, Found: True, Taken down:4 
129. Steps: 17, Found: True, Taken down:1 
130. Steps: 52, Found: True, Taken down:3 
131. Steps: 14, Found: True, Taken down:4 
132. Steps: 25, Found: True, Taken down:4 
133. Steps: 26, Found: True, Taken down:2 
134. Steps: 23, Found: True, Taken down:4 
135. Steps: 47, Found: False, Taken down:5 
136. Steps: 18, Found: True, Taken down:3 
137. Steps: 34, Found: True, Taken down:3 
138. Steps: 6, Found: True, Taken down:0 
139. Steps: 28, Found: True, Taken down:4 
140. Steps: 45, Found: False, Taken down:5 
141. Steps: 35, Found: False, Taken down:5 
142. Steps: 25, Found: True, Taken down:3 
143. Steps: 44, Found: True, Taken down:4 
